id,year,author_or_institution,title,source_type,book_use,url
gao-legacy-it-2025,2025,U.S. Government Accountability Office,Legacy IT modernization,government report,"Chapters 1, 2, and 20: legacy-system maintenance burden and modernization risk",https://www.gao.gov/products/gao-25-107795
nara-digital-preservation-risk,2026,U.S. National Archives and Records Administration,Digital Preservation Risk,government guidance,"Chapters 1, 13, and 18: persistence, format, and preservation risk",https://www.archives.gov/preservation/digital-preservation/risk
nist-software-supply-chain,2026,National Institute of Standards and Technology,Software Security in Supply Chains,government guidance,"Chapters 2, 3, and 15: software provenance, support, and dependency lifecycle",https://www.nist.gov/itl/executive-order-14028-improving-nations-cybersecurity/software-security-supply-chains-open
github-maintainers-2026,2026,GitHub,Investing in the people shaping open source and securing the future together,industry publication,"Chapters 3 and 20: maintainer burden and stewardship funding",https://github.blog/security/supply-chain-security/investing-in-the-people-shaping-open-source-and-securing-the-future-together/
github-supply-chain-2026,2026,GitHub,Securing the supply chain at scale starting with 71 important open source projects,industry publication,"Chapters 3 and 15: dependency scale and maintainer concentration",https://github.blog/open-source/maintainers/securing-the-supply-chain-at-scale-starting-with-71-important-open-source-projects/
icann-expired-registration-about,2018,ICANN,About Expired Registration Recovery Policy,policy guidance,"Chapter 4: lifecycle of expired domain registrations",https://www.icann.org/resources/pages/registrant-about-errp-2018-12-07-en
icann-expired-registration-policy,2024,ICANN,Expired Registration Recovery Policy,policy,"Chapter 4: expiry and recovery process",https://www.icann.org/en/contracted-parties/consensus-policies/expired-registration-recovery-policy/expired-registration-recovery-policy-21-02-2024-en
ftc-nixing-the-fix,2021,U.S. Federal Trade Commission,Nixing the Fix,government report,"Chapters 5, 17, and 19: repair restrictions and lifecycle choice",https://www.ftc.gov/reports/nixing-fix-ftc-report-congress-repair-restrictions
osha-mechanical-integrity,2026,U.S. Occupational Safety and Health Administration,Mechanical Integrity guidance,government guidance,"Chapter 5: maintenance and mechanical-integrity program concepts",https://www.osha.gov/laws-regs/regulations/standardnumber/1926/1926.64AppC
doi-orphaned-wells,2026,U.S. Department of the Interior,Orphaned Wells Program,government program,"Chapter 6: safety and environmental burdens of orphaned wells",https://www.doi.gov/orphanedwells
doi-orphaned-well-guidance,2022,U.S. Department of the Interior,Final guidance for new orphaned well program,government guidance,"Chapter 6: funding and policy response to orphaned wells",https://www.doi.gov/pressreleases/biden-harris-administration-releases-final-guidance-new-orphaned-well-program
fhwa-bridge-condition-2025,2025,Federal Highway Administration,National Bridge Inventory bridge condition data,government dataset,"Chapter 7: bridge condition and long-lived maintenance burden",https://www.fhwa.dot.gov/BRIDGE/nbi/no10/condition25.cfm
esa-space-environment-2025,2025,European Space Agency,Space Environment Report 2025,scientific report,"Chapter 8: persistent orbital objects and debris estimates",https://www.esa.int/Space_Safety/Space_Debris/ESA_Space_Environment_Report_2025
nasa-orbital-debris,2026,NASA,Orbital Debris Quarterly News,government scientific publication,"Chapter 8: orbital-debris monitoring context",https://orbitaldebris.jsc.nasa.gov/quarterly-news/
