source_id,chapter,accessed_date,publication_date,author_or_institution,title,source_type,claim_or_use,url,notes
ch01-001,1,2026-08-28,1983-05-05,UPI,"American Airlines, acknowledging that president Robert Crandall made an...",Contemporaneous wire report,"Confirms the 1982 Crandall-Putnam phone call, its taping, and the government's civil complaint against American",https://www.upi.com/Archives/1983/05/05/American-Airlines-acknowledging-that-president-Robert-Crandall-made-an/5934420955200/,American acknowledged the call as part of a 1983 civil settlement; no criminal charges were filed.
ch01-002,1,2026-08-28,1983-02-24,UPI,Government accuses American Airlines in price-fixing scheme,Contemporaneous wire report,Filing date and framing of the DOJ's 1983 civil suit against American Airlines over the Crandall-Putnam call,https://www.upi.com/Archives/1983/02/24/Government-accuses-American-Airlines-in-price-fixing-scheme/6027414910800/,"Suit alleged attempted monopolization rather than completed price-fixing, since Braniff rejected the proposal."
ch01-003,1,2026-08-28,2012-09-16,Cornell University (INFO 2040 course blog),A Price-Fixing Attempt,Academic course blog summarizing the case,Secondary summary of the Crandall-Putnam transcript and the 'raise your fares 20%' quotation,https://blogs.cornell.edu/info2040/2012/09/16/a-price-fixing-attempt/,Used to cross-check the widely quoted transcript language against multiple secondary accounts.
ch01-004,1,2026-08-28,2024,Wikipedia,Robert Crandall,Encyclopedia entry,"Biographical confirmation of Crandall's tenure, career, and 2024 death",https://en.wikipedia.org/wiki/Robert_Crandall,Used for general biographical facts and dates only.
ch01-005,1,2026-08-28,1982-05,Wikipedia / secondary aviation histories,Braniff International Airways,Encyclopedia entry,Braniff's 1982 fare-war losses and May 1982 bankruptcy filing,https://en.wikipedia.org/wiki/Braniff_International_Airways,Used for general corporate-history facts and dates only.
ch02-001,2,2026-08-28,1964,George J. Stigler,A Theory of Oligopoly,Academic journal article (Journal of Political Economy),Core monitoring-cost theory of tacit collusion underlying the entire book's analytical framework,https://www.journals.uchicago.edu/doi/10.1086/258464,Foundational 1964 paper; cited throughout via secondary academic summaries and standard economics reference material.
ch02-002,2,2026-08-28,1994,William G. Christie; Paul H. Schultz,Why Do NASDAQ Market Makers Avoid Odd-Eighth Quotes?,Academic journal article (Journal of Finance),NASDAQ market-maker tacit collusion finding and its aftermath,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1540-6261.1994.tb04782.x,Companion 1994 paper 'Why Did NASDAQ Market Makers Stop Avoiding Odd-Eighth Quotes?' documents the post-publication spread narrowing.
ch02-003,2,2026-08-28,1998-11-09,CBS News,$1B Nasdaq Settlement OK'd,News report,$1.03 billion class-action settlement figure and 1998 court approval,https://www.cbsnews.com/news/1b-nasdaq-settlement-okd/,Confirmed as the largest civil antitrust settlement in history at the time of approval.
ch02-004,2,2026-08-28,1984,Robert Axelrod,The Evolution of Cooperation,Book (secondary summaries consulted),Axelrod's prisoner's-dilemma tournaments and the tit-for-tat strategy's two tournament wins,https://en.wikipedia.org/wiki/The_Evolution_of_Cooperation,Tournament history also cross-checked against Axelrod Python library documentation background notes.
ch02-005,2,2026-08-28,1982,Nobel Prize committee,George J. Stigler - Facts (Nobel Memorial Prize in Economic Sciences 1982),Prize citation (secondary summary),"Stigler's 1982 Nobel citation for studies of industrial structures, market functioning, and regulation",https://en.wikipedia.org/wiki/George_Stigler,Used for biographical framing of Stigler's broader Chicago School body of work.
ch03-001,3,2026-08-28,1994-08-10,"U.S. Department of Justice, Antitrust Division",ATPCO consent decree press materials,Regulatory primary source (secondary summaries),"1994 ATPCO/airline consent decree terms, ten-year duration, and restrictions on footnote codes and advance-dated filings",https://www.justice.gov/archive/atr/public/press_releases/1994/211901.htm,Direct justice.gov archive access was not available in this research session; summarized via Berkeley Haas case-study material and academic secondary sources.
ch03-002,3,2026-08-28,n.d.,Severin Borenstein (UC Berkeley Haas),Rapid Communication and Price Fixing: The Airline Tariff Publishing Case,Academic case study,Mechanics of ATPCO trial-balloon fare filings and the $238 million-$1.9 billion damage estimate range,https://faculty.haas.berkeley.edu/borenste/download/atpcase1.pdf,Standard antitrust-economics teaching case on the ATPCO matter.
ch03-003,3,2026-08-28,1978-10,U.S. Congress,Airline Deregulation Act of 1978,Federal statute (secondary summary),Deregulation's removal of CAB fare-setting authority and its role in creating the ATPCO-era coordination vulnerability,https://en.wikipedia.org/wiki/Airline_Deregulation_Act,Used for background legislative history only.
ch03-004,3,2026-08-28,1984,U.S. Civil Aeronautics Board / Department of Transportation,CRS display-bias rules (SABRE),Regulatory history (secondary summary),"1984 neutral-display rules responding to American's SABRE reservation-system ranking bias, and their 2004 loosening",https://en.wikipedia.org/wiki/Sabre_(travel_technology),Cross-checked against general aviation-industry histories of computer reservation system regulation.
ch04-001,4,2026-08-28,2015-04-06,"U.S. Department of Justice, Antitrust Division",Former E-Commerce Executive Charged With Price Fixing in the Antitrust Division's First Online Marketplace Prosecution,Press release,"David Topkins guilty plea, $20,000 fine, and DOJ characterization as the first algorithmic-pricing prosecution",https://www.justice.gov/archives/opa/pr/former-e-commerce-executive-charged-price-fixing-antitrust-divisions-first-online-marketplace,Archived DOJ release; corroborated by contemporaneous legal-industry coverage.
ch04-002,4,2026-08-28,2016-08-11,U.S. Department of Justice (via secondary legal coverage),Trod Ltd. guilty plea coverage,Legal news summary,Trod Limited's 2016 guilty plea and Daniel Aston's subsequent plea and six-month sentence,https://www.jdsupra.com/legalnews/beware-price-fixing-by-algorithms-85275,Used for the poster price-fixing conspiracy's additional defendants beyond Topkins.
ch04-003,4,2026-08-28,2017-08-07,U.S. Department of Justice,Zaappaaz Inc. and President Agree to Plead Guilty to Price Fixing on Amazon Marketplace,Press release summary,Zaappaaz/Azim Makanojiya guilty plea for promotional-product price fixing,https://www.justice.gov/opa/pr/former-e-commerce-executive-pleads-guilty-price-fixing-sentenced-six-months,Confirms the pattern extended beyond posters to other Amazon Marketplace product categories.
ch05-001,5,2026-08-28,2020-10-01,Emilio Calvano; Giacomo Calzolari; Vincenzo Denicolo; Sergio Pastorello,"Artificial Intelligence, Algorithmic Pricing, and Collusion","Academic journal article (American Economic Review, vol. 110, no. 10)","Central laboratory finding: Q-learning pricing agents learn supracompetitive, reward-and-punishment strategies with no communication or instruction to collude",https://www.aeaweb.org/articles?id=10.1257/aer.20190623,Also circulated as an FTC-hosted conference paper; profit-gain and discount-factor findings cross-checked against the OpenICPSR replication materials summary.
ch05-002,5,2026-08-28,2022,Various authors,Algorithmic Pricing Facilitates Tacit Collusion,Conference paper (ACM EC 2022),Independent replication of supracompetitive algorithmic pricing outcomes using a different experimental design,https://dl.acm.org/doi/10.1145/3490486.3538239,Cited as corroborating follow-up literature.
ch05-003,5,2026-08-28,n.d.,Various authors,The Illusion of Collusion,Working paper (arXiv),Methodological critique arguing some algorithmic-collusion findings may be measurement artifacts,https://arxiv.org/pdf/2411.16574,Used in the skeptics' chapter and in chapter five's own robustness discussion.
ch05-004,5,2026-08-28,2017,OECD,Algorithms and Collusion,Policy working paper,"Early 2017 regulatory recognition of algorithmic-collusion risk, predating the Calvano et al. laboratory result",https://one.oecd.org/document/DAF/COMP/WD(2017)12/en/pdf,Establishes the regulatory-awareness timeline referenced in chapters five and seventeen.
ch05-005,5,2026-08-28,1989,Christopher J.C.H. Watkins,"Learning from Delayed Rewards (doctoral dissertation, Cambridge)",Academic dissertation (secondary summary),Original formalization of Q-learning,https://en.wikipedia.org/wiki/Q-learning,Used for background on Q-learning's technical pedigree and later use in DeepMind's Atari-playing systems.
ch06-001,6,2026-08-28,2024,Stephanie Assad; Robert Clark; Daniel Ershov; Lei Xu,Algorithmic Pricing and Competition: Empirical Evidence from the German Retail Gasoline Market,"Academic journal article (Journal of Political Economy, vol. 132, no. 3)",Field evidence that algorithmic pricing adoption raised margins only in non-monopoly markets with near-universal adoption,https://www.journals.uchicago.edu/doi/10.1086/726906,Originally circulated as CESifo Working Paper No. 8521 (2020); JPE publication in 2024.
