id,chapters,type,source,url,use,caveat
S001,"1,2,3,12",book,"William F. Ogburn, Social Change with Respect to Culture and Original Nature (1922)",https://books.google.com/books?id=tTlFAAAAIAAJ,"Cultural lag; unequal rates of material and nonmaterial change","Historical sociology; do not universalize the direction of lag"
S002,"1,2,5,13",book,"Alvin Toffler, Future Shock (1970)",https://search.worldcat.org/title/87496,"Change overload and adaptation","Popular futurism; avoid treating its forecasts as empirical law"
S003,"2,3,5,12",book,"Hartmut Rosa, Social Acceleration: A New Theory of Modernity (2013)",https://cup.columbia.edu/book/social-acceleration/9780231148351/,"Technological acceleration; social change; pace of life","Critical theory, not a universal quantitative measure"
S004,"1,5",essay,"Danny Dorling, The Pace of Change (2020)",https://yalebooks.yale.edu/2020/05/20/the-pace-of-change/,"Counterclaim to reflexive unprecedented-acceleration rhetoric","Essay tied to Dorling's broader slowdown argument"
S005,"2,5,9",book,"Carlota Perez, Technological Revolutions and Financial Capital (2002)",https://carlotaperez.org/books/,"Technology diffusion; installation and deployment; institutional time lags","Long-wave interpretation is debated; use as analytical history"
S006,"2,9",book,"David Collingridge, The Social Control of Technology (1980)",https://books.google.com/books?id=2q_uAAAAMAAJ,"Control dilemma; reversibility and entrenchment","Do not compress into a slogan without the uncertainty/entrenchment tradeoff"
S007,"2",article,"Posen, Keil, Kim, Meissner, Organizational Adaptation review",https://pmc.ncbi.nlm.nih.gov/articles/PMC7736401/,"Definition and literature map for organizational adaptation","Review integrates heterogeneous traditions"
S008,"2,5",article,"Azeem Azhar, The Exponential Age Will Transform Economics Forever (2021)",https://www.wired.com/story/exponential-age-azeem-azhar/,"Exponential-gap predecessor and technology/institution mismatch","Popular synthesis rather than primary empirical research"
S009,"3,5,9,10",book,"Everett M. Rogers, Diffusion of Innovations, 5th ed. (2003)",https://books.google.com/books?id=9U1K5LjUOwEC,"Adoption curves; diffusion; reinvention; social systems","Diffusion patterns differ by technology and context"
S010,"5",article,"Zvi Griliches, Hybrid Corn: An Exploration in the Economics of Technological Change (1957)",https://doi.org/10.2307/1905380,"Empirical technology diffusion","Historical agricultural case, not generic diffusion constant"
S011,"4",book,"Norbert Wiener, Cybernetics (1948)",https://mitpress.mit.edu/9780262730099/cybernetics/,"Feedback and control foundations","Use conceptually; social systems are not reducible to engineered controllers"
S012,"4,20",book,"W. Ross Ashby, An Introduction to Cybernetics (1956)",https://ashby.info/Ashby-Introduction-to-Cybernetics.pdf,"Requisite variety and regulation","Formal results depend on stated assumptions"
S013,"4",article,"Roger C. Conant and W. Ross Ashby, Every Good Regulator of a System Must Be a Model of That System (1970)",https://doi.org/10.1080/00207727008920220,"Model-based regulation under formal conditions","Frequently overquoted; preserve theorem's conditions"
S014,"4",article,"John D. Sterman, Modeling Managerial Behavior: Misperceptions of Feedback in a Dynamic Decision Making Experiment (1989)",https://doi.org/10.1287/mnsc.35.3.321,"Delayed feedback; inventory dynamics; poor dynamic decisions","Laboratory simulation, not direct proof for every organization"
S015,"4",article,"John D. Sterman, Misperceptions of Feedback in Dynamic Decision Making (1989)",https://doi.org/10.1016/0749-5978(89)90041-1,"Feedback misperception across dynamic settings","Related 1989 experimental program; avoid double-counting as independent evidence"
S016,"4",book,"Jay W. Forrester, Industrial Dynamics (1961)",https://archive.org/details/industrialdynami0000forr,"Delays, feedback, oscillation in industrial systems","Foundational system-dynamics work; historical modeling assumptions"
S017,"4,17",book,"Donella H. Meadows, Thinking in Systems (2008)",https://www.chelseagreen.com/product/thinking-in-systems/,"Stocks, flows, delays, feedback and leverage","Posthumous trade synthesis; use alongside primary system-dynamics work"
S018,"6,20",article,"James G. March, Exploration and Exploitation in Organizational Learning (1991)",https://doi.org/10.1287/orsc.2.1.71,"Short-run exploitation versus long-run exploration; learning cadence","Formal models are stylized"
S019,"6,20",article,"Michael Tushman and Charles O'Reilly, Ambidextrous Organizations (1996)",https://doi.org/10.2307/41165852,"Simultaneous evolutionary and revolutionary change","Management research; not a universal organizational recipe"
S020,"6,17,20",book,"Carliss Y. Baldwin and Kim B. Clark, Design Rules, Vol. 1 (2000)",https://doi.org/10.7551/mitpress/2366.001.0001,"Modularity and parallel experimentation","Computer-industry emphasis; analogies should be bounded"
S021,"6",book,"Carliss Y. Baldwin, Design Rules, Vol. 2 (2024)",https://mitpress.mit.edu/9780262049337/design-rules-volume-2/,"Technology architecture shaping organization","Recent synthesis; use for architecture, not speed determinism"
S022,"17",article,"Ron Sanchez and Joseph T. Mahoney, Modularity, Flexibility, and Knowledge Management (1996)",https://doi.org/10.1002/smj.4250171107,"Modular product and organization design","Strategic-management context"
S023,"6,17,20",research-program,"DORA research program",https://dora.dev/research/,"Small batches, fast feedback, delivery throughput and stability","Observational industry research; definitions evolve over time"
S024,"6,17",report,"DORA Accelerate State of DevOps Report 2024",https://dora.dev/research/2024/dora-report/2024-dora-accelerate-state-of-devops-report.pdf,"Throughput versus stability; rework; delivery metrics","Survey-based; software context"
S025,"1,7,11,17",incident-primary,"CrowdStrike Preliminary Post Incident Review, July 24 2024",https://www.crowdstrike.com/en-us/blog/falcon-content-update-preliminary-post-incident-report/,"Timing and mechanism of July 19 2024 outage","Company's own incident report; pair with Microsoft and later RCA"
S026,"1,7,11",incident-primary,"CrowdStrike Channel File 291 Root Cause Analysis notice, Aug. 6 2024",https://www.crowdstrike.com/en-us/blog/channel-file-291-rca-available/,"Later root-cause findings and mitigation","Company source; distinguishes causal defects from pace interpretation"
S027,"1,7",incident-primary,"Microsoft, Helping our customers through the CrowdStrike outage, July 20 2024",https://blogs.microsoft.com/blog/2024/07/20/helping-our-customers-through-the-crowdstrike-outage/,"8.5 million device estimate; interconnected impact","Estimate from Microsoft, not a census"
S028,"7,11,19",book,"Charles Perrow, Normal Accidents, updated ed. (1999)",https://www.jstor.org/stable/j.ctt7srgf,"Complex interactions and tight coupling","Contested safety thesis; do not claim inevitability in all complex systems"
S029,"7,11",book,"Sidney Dekker, Drift into Failure (2011)",https://www.routledge.com/Drift-into-Failure-From-Hunting-Broken-Components-to-Understanding-Complex/Dekker/p/book/9781409422211,"Emergent failure from local decisions in complex systems","Systems-safety perspective; not every failure is drift"
S030,"7,10,11,19,20",book,"Karl E. Weick and Kathleen M. Sutcliffe, Managing the Unexpected, 3rd ed. (2015)",https://doi.org/10.1002/9781119175834,"High-reliability organizing and sensitivity to operations","Case-based organizational synthesis"
S031,"10,15",article,"Amy Edmondson, Psychological Safety and Learning Behavior in Work Teams (1999)",https://doi.org/10.2307/2666999,"Conditions supporting team learning and speaking up","51-team field study; psychological safety is not synonymous with trust"
S032,"10",article,"Mayer, Davis, Schoorman, An Integrative Model of Organizational Trust (1995)",https://doi.org/10.5465/amr.1995.9508080335,"Ability, benevolence, integrity and willingness to be vulnerable","Conceptual model; do not assign universal build times"
S033,"10,19",book,"Tom R. Tyler, Why People Obey the Law, 2nd ed. (2006)",https://press.princeton.edu/books/paperback/9780691126739/why-people-obey-the-law,"Procedural justice and legitimacy","Legal/social context; not a claim that procedure always beats outcomes"
S034,"9,19",article,"Sheila Jasanoff, Technologies of Humility: Citizen Participation in Governing Science (2003)",https://doi.org/10.1023/A:1025557512320,"Governance under uncertainty; limits of prediction and control","Normative governance argument"
S035,"9,17,19",book,"Avinash Dixit and Robert Pindyck, Investment Under Uncertainty (1994)",https://www.jstor.org/stable/j.ctt7sncv,"Option value of waiting under uncertainty and irreversibility","Economic model; waiting loses value when reversibility is high or delay costly"
S036,"18",article,"John D. C. Little, A Proof for the Queuing Formula L = λW (1961)",https://doi.org/10.1287/opre.9.3.383,"Formal relationship among work in process, throughput and time","Do not apply literally to human cognition or organizations"
S037,"18",article,"John D. C. Little, Little's Law as Viewed on Its 50th Anniversary (2011)",https://doi.org/10.1287/opre.1110.0940,"Practical uses and boundary of Little's Law","Queueing theorem; analogy must remain explicit"
S038,"18",book,"Wallace J. Hopp and Mark L. Spearman, Factory Physics (1996/2011)",https://books.google.com/books?id=TfcWAAAAQBAJ,"Work-in-process, variability, cycle time, bottlenecks","Manufacturing context; organizational extrapolation is analogical"
S039,"13,18",article,"Sophie Leroy, Why Is It So Hard to Do My Work? Attention Residue (2009)",https://doi.org/10.1016/j.obhdp.2009.04.002,"Incomplete-task switching and attention residue","Experimental/task context; not a universal measure of switching cost"
S040,"13,15",review,"Susanne Diekelmann and Jan Born, The Memory Function of Sleep (2010)",https://doi.org/10.1038/nrn2762,"Sleep-dependent memory consolidation","Review article; mechanisms vary by memory type and conditions"
S041,"13,15",article,"Daniel Kahneman and Gary Klein, Conditions for Intuitive Expertise (2009)",https://doi.org/10.1037/a0016755,"Regular environments and opportunity to learn as conditions for skilled intuition","Does not imply all stable environments generate expertise"
S042,"8,13,15",article,"K. Anders Ericsson, Ralf Krampe, Clemens Tesch-Römer, The Role of Deliberate Practice in the Acquisition of Expert Performance (1993)",https://doi.org/10.1037/0033-295X.100.3.363,"Practice, feedback and expert performance","Later literature disputes strong interpretations; avoid '10,000 hours' simplification"
S043,"15",book,"Jean Lave and Etienne Wenger, Situated Learning (1991)",https://www.cambridge.org/core/books/situated-learning/6915ABD21C8E4619F750A4D4ACA616CD,"Learning through participation and communities of practice","Theory and case-based work"
S044,"8,14",article,"David Autor, Frank Levy, Richard Murnane, The Skill Content of Recent Technological Change (2003)",https://doi.org/10.1162/003355303322552801,"Task framework for computerization and labor demand","Period-specific evidence; technology has evolved"
S045,"14",article,"David Autor, Why Are There Still So Many Jobs? (2015)",https://doi.org/10.1257/jep.29.3.3,"Automation, task substitution and complementarity","Pre-generative-AI synthesis; use for task logic, not current forecasts"
S046,"8,14",article,"Daron Acemoglu and Pascual Restrepo, Automation and New Tasks (2019)",https://doi.org/10.1257/jep.33.2.3,"Displacement versus reinstatement of labor tasks","Macro task framework; empirical magnitudes debated"
S047,"14,16",book,"Claudia Goldin, Career and Family (2021)",https://press.princeton.edu/books/hardcover/9780691201788/career-and-family,"Career timing, household constraints, greedy work","U.S. professional-labor emphasis"
