id,year,author_or_institution,title,source_type,book_use,url
ch01-001,,U.S. Department of State Office of the Historian,"French Alliance, French Assistance, and European Diplomacy during the American Revolution, 1778–1782",Federal historical synthesis,"Chapter 1; accessed 2026-09-06. Treaties signed February 6 1778; French recognition, military aid, naval support and widening of war. Retired Milestones page but maintained by Office of the Historian; use for chronology and diplomatic framing.",https://history.state.gov/milestones/1776-1783/french-alliance
ch01-002,,U.S. Department of State Office of the Historian,"The Model Treaty, 1776",Federal historical synthesis,"Chapter 1; accessed 2026-09-06. Difference between earlier commercial strategy and the military alliance; no-separate-peace provision. Use to avoid implying alliance was the original or inevitable diplomatic plan.",https://history.state.gov/milestones/1776-1783/model-treaty
ch02-001,,Library of Congress,"George Washington Papers — American Revolution timeline",Primary-source collection guide,"Chapter 2; accessed 2026-09-06. March 13 1783 Newburgh address; officer grievances; later loyalty resolutions. LOC chronology points into Washington Papers; quotation must be checked against manuscript/transcript before direct use.",https://www.loc.gov/collections/george-washington-papers/articles-and-essays/timeline/the-american-revolution/
ch02-002,1783,Library of Congress / Continental Army,"General orders of George Washington issued at Newburgh, 1782–1783",Primary-source collection,"Chapter 2; accessed 2026-09-06; publication date 1783. Army orders and institutional context around Newburgh crisis. Public-domain source collection.",https://www.loc.gov/item/73016354/
ch03-001,1790,Alexander Hamilton / Founders Online,"Report on Funds for the Payment of the Interest on the States’ Debts",Primary source,"Chapter 3; accessed 2026-09-06; publication date 1790-03-04. Hamilton’s proposed funding for assumed state debts and congressional request. Founders Online reproduces National Archives source material.",https://founders.archives.gov/documents/Hamilton/01-06-02-0179-0001
ch03-002,1795,Alexander Hamilton / Founders Online,"The Defence of the Funding System",Primary source,"Chapter 3; accessed 2026-09-06; publication date 1795. Hamilton’s retrospective rationale for assumption and federal fiscal consolidation. Use as Hamilton’s argument, not neutral proof of the system’s effects.",https://founders.archives.gov/documents/Hamilton/01-19-02-0001
ch04-001,1807,Library of Congress,"United States Statutes at Large, Volumes 1–5",Primary statute collection,"Chapter 4; accessed 2026-09-06; publication date 1807-03-02. Act prohibiting importation of enslaved people effective January 1 1808. Statutory chronology.",https://www.loc.gov/collections/united-states-statutes-at-large/articles-and-essays/vol1-5/
ch04-002,,National Archives,"Slave Ship Manifests filed at New Orleans, 1807–1860",Archival guide,"Chapter 4; accessed 2026-09-06. 1807 act also regulated coastwise transportation of enslaved people; surviving manifests document domestic traffic. Important counterweight to any implication that the federal ban ended slave trading within the U.S.",https://www.archives.gov/research/african-americans/slave-ship-manifests.html
ch05-001,,NOAA Institutional Repository,"Early American sunspot drawings from the ‘year without a summer’",Academic article / NOAA repository,"Chapter 5; accessed 2026-09-06. 1816 New England crop failures and intermittent summer frosts; Tambora connection. Article notes that contemporaries did not know the volcanic cause and speculated about the Sun.",https://repository.library.noaa.gov/view/noaa/45591
ch06-001,,National Park Service,"Erie Canalway National Heritage Corridor",Federal historical synthesis,"Chapter 6; accessed 2026-09-06. Canal system’s commercial, settlement and New York City consequences; continuous operation since 1825. Use broad claims carefully; corridor interpretation is not an economic counterfactual.",https://www.nps.gov/erie/index.htm
ch06-002,,National Park Service,"The Erie Canal",Federal historical synthesis,"Chapter 6; accessed 2026-09-06. Original 363-mile canal built 1817–1825; public works scale; settlement and reform corridor. Useful for social as well as commercial consequences.",https://www.nps.gov/wori/learn/historyculture/the-erie-canal.htm
ch07-001,1836,U.S. House of Representatives History Art & Archives,"The House ‘Gag Rule’",Institutional history,"Chapter 7; accessed 2026-09-06; publication date 1836-05-26. First House gag rule, automatic tabling of antislavery petitions, Adams opposition and 1844 repeal. Official House history.",https://history.house.gov/Historical-Highlights/1800-1850/House-Gag-Rule/
ch07-002,1838,U.S. House of Representatives History Art & Archives,"Petition to Rescind Gag Rule",Primary record contextualization,"Chapter 7; accessed 2026-09-06; publication date 1838-02-14. More than 130000 antislavery petitions in the 24th Congress; petitioners’ constitutional objections. Image courtesy of National Archives.",https://history.house.gov/Records-and-Research/Listing/pm_009/
ch08-001,1844,Library of Congress,"First telegraphic message — 24 May 1844",Primary artifact,"Chapter 8; accessed 2026-09-06; publication date 1844-05-24. Morse’s Washington-to-Baltimore message and physical paper tape. Verify any direct quotation against artifact transcription.",https://www.loc.gov/resource/mmorse.071009/
ch08-002,,Library of Congress,"Samuel F. B. Morse timeline, 1840 to 1872",Collection guide,"Chapter 8; accessed 2026-09-06. Congress appropriated $30000 in 1843 for experimental line; line demonstrated May 24 1844. Supports public-financing angle without claiming government invented telegraphy.",https://www.loc.gov/collections/samuel-morse-papers/articles-and-essays/timeline/1840-1872/
ch09-001,,Pennsylvania Department of Conservation and Natural Resources,"History of Oil Creek State Park",State historical synthesis,"Chapter 9; accessed 2026-09-06. Drake struck oil at 69.5 feet in August 1859 and triggered local oil boom. State interpretation; avoid unverified newspaper quotations unless independently checked.",https://www.pa.gov/agencies/dcnr/recreation/where-to-go/state-parks/find-a-park/oil-creek-state-park/history
ch09-002,,Pennsylvania Historical & Museum Commission,"Drake Well Museum",State museum history,"Chapter 9; accessed 2026-09-06. Drake and William ‘Uncle Billy’ Smith’s 1859 well as first successful commercial oil well and petroleum-industry hinge. Use ‘modern petroleum industry’ as institutional interpretation, not literal first human use of petroleum.",https://www.pa.gov/agencies/phmc/historic-sites-and-museums/pahistory2go/drake-well-museum
ch10-001,1862,National Archives,"Morrill Act (1862)",Primary document and archival interpretation,"Chapter 10; accessed 2026-09-06; publication date 1862-07-02. Federal land grants for agricultural and mechanic-arts colleges; over 10 million grant acres expropriated from Native communities. National Archives explicitly includes both access expansion and Indigenous-land history.",https://www.archives.gov/milestone-documents/morrill-act
ch11-001,,National Weather Service / NOAA,"The National Weather Service at 150: A Brief History",Federal agency history,"Chapter 11; accessed 2026-09-06. February 9 1870 authorization; Army Signal Service weather network; later transfer to Agriculture and Weather Bureau. Good for institutional chronology.",https://vlab.noaa.gov/web/nws-heritage/-/the-national-weather-service-at-150-a-brief-history
