id,year,author_or_institution,title,source_type,book_use,url
commit-ch01-001,2005,Linus Torvalds,"Initial revision of git, the information manager from hell",Primary repository commit,"Chapter 1: anchors Git's first public commit to April 7 2005; eleven files; use the commit and original README language without implying later success was inevitable.",https://kernel.googlesource.com/pub/scm/git/git/+/e83c5163316f89bfbde7d9ab23ca2e25604af290
commit-ch01-002,2026,Git project / Pro Git,"A Short History of Git",Official project book,"Chapter 1: Linux kernel moved to BitKeeper in 2002; the relationship broke down in 2005 and free-of-charge use was revoked; records the early design goals of speed, simple design, non-linear development, full distribution, and large-project efficiency.",https://git-scm.com/book/en/v2/Getting-Started-A-Short-History-of-Git
commit-ch02-001,2005,Linus Torvalds,"GIT - the stupid content tracker (initial README)",Primary repository documentation,"Chapter 2: original object-database and current-directory-cache description; content-addressed object naming and the deliberately low-level initial design.",https://kernel.googlesource.com/pub/scm/git/git/+/e83c5163316f89bfbde7d9ab23ca2e25604af290/README
commit-ch02-002,2026,Git project / Pro Git,"Git Internals - Git Objects",Official project book,"Chapter 2: blobs, trees, commits, tags, content-addressable storage and object relationships; explanatory secondary source for readers.",https://git-scm.com/book/en/v2/Git-Internals-Git-Objects
commit-ch03-001,2026,Git project / Pro Git,"Git Branching - Branches in a Nutshell",Official project book,"Chapter 3: branches as lightweight movable pointers to commits and HEAD as the current branch reference; supports explanation of cheap branching without claiming other VCSs lacked branches.",https://git-scm.com/book/en/v2/Git-Branching-Branches-in-a-Nutshell
commit-ch03-002,2026,Git project / Pro Git,"Distributed Git - Distributed Workflows",Official project book,"Chapters 3 and 5: Git's distributed topology permits contributors and integrators to act as both nodes and hubs; use to separate Git's model from centralized forge habit.",https://git-scm.com/book/en/v2/Distributed-Git-Distributed-Workflows
commit-ch04-001,2026,Git project,"A note from the maintainer",Primary project governance documentation,"Chapter 4: identifies Junio C Hamano as current maintainer and documents mailing-list-centered development and integration practice; supports governance story without treating Git as leaderless.",https://kernel.googlesource.com/pub/scm/git/git/+/todo/MaintNotes
commit-ch06-001,2010,GitHub,"Pull Requests 2.0",First-party historical product article,"Chapters 6 and 7: GitHub says pull requests existed from launch and by 2010 were explicitly framed as living discussions and code review around proposed merges.",https://github.blog/news-insights/pull-requests-2-0/
commit-ch06-002,2008,GitHub,"We Launched",First-party contemporaneous product article,"Chapter 6: anchors GitHub's public launch to April 10 2008 and records launch-era features including comments on commits and network graphs; use as a concrete historical scene rather than a retrospective origin myth.",https://github.blog/news-insights/we-launched/
commit-ch06-003,2009,GitHub,"Only the beginning",First-party retrospective product article,"Chapter 6: records GitHub's early growth from private beta in January 2008 to more than 50,000 public repositories by the start of 2009; supports the argument that a common social surface rapidly compressed project discovery and participation costs.",https://github.blog/news-insights/only-the-beginning/
