source_id,chapters,access_date,publication_date,author_or_institution,title,source_type,claim_or_role,url,caveat
nei-001,"2;3;5;23",2026-08-30,2022-03-31,Amazon Web Services,REL05-BP06 Make services stateless where possible,developer architecture guidance,"Technical precedent for externalizing state so replaceable compute resources can service requests and individual-node failure is easier to tolerate.",https://docs.aws.amazon.com/wellarchitected/2022-03-31/framework/rel_mitigate_interaction_failure_stateless.html,"Cloud application guidance rather than agent research; used as an architectural analogy."
nei-002,"3;7;11;13;14",2026-08-30,2005-12-12,Martin Fowler,Event Sourcing,software architecture essay,"Defines event sourcing as capturing state changes as a sequence of events and discusses reconstruction temporal queries replay and parallel timelines.",https://www.martinfowler.com/eaaDev/EventSourcing.html,"Influential practitioner writing from 2005; event sourcing has real complexity and is not prescribed for every agent."
nei-003,"3;5;7;15",2026-08-30,2017-02-07,Martin Fowler,What do you mean by Event-Driven?,software architecture essay,"Distinguishes event notification event-carried state transfer event sourcing and CQRS; supports precision about event-driven agent architecture.",https://martinfowler.com/articles/201701-event-driven.html,"Conceptual taxonomy rather than empirical evaluation."
nei-004,"5;7;12;23;24",2026-08-30,2026,Temporal,Temporal Platform Documentation,developer documentation,"Contemporary example of durable execution where workflow state survives crashes outages timers and worker replacement through persisted history and replay.",https://docs.temporal.io/,"Vendor documentation; demonstrates an available architecture but not independent evidence of agent correctness."
nei-005,"5;12;18;23;24",2026-08-30,2026,Temporal,Durable Execution Solutions,developer product documentation,"States that workflow state can be recovered replayed or paused across failures and provides task queues timers retries and persisted application state.",https://temporal.io/,"Vendor marketing language; use for architectural existence rather than performance claims."
nei-006,"5;20;23",2026-08-30,,Amazon Web Services,Making retries safe with idempotent APIs,developer reliability guidance,"Explains why retryable distributed operations need idempotent contracts to avoid repeated side effects after ambiguous failure.",https://aws.amazon.com/builders-library/making-retries-safe-with-idempotent-APIs/,"General distributed-systems guidance rather than AI-specific evidence."
nei-007,"5;20;23",2026-08-30,,Amazon Web Services,REL04-BP04 Make mutating operations idempotent,developer reliability guidance,"Provides reliability guidance for repeated mutating requests and idempotency tokens in distributed systems.",https://docs.aws.amazon.com/wellarchitected/latest/framework/rel_prevent_interaction_failure_idempotent.html,"General cloud architecture guidance; exact semantics vary by system."
nei-008,"1;5;9;12;18;24",2026-08-30,2026-06-26,Anthropic,Anthropic Economic Index report: Cadences,developer economic research,"Product telemetry and surveys showing Anthropic usage shifting from conversation toward longer-running agentic tasks and more automated work sessions.",https://www.anthropic.com/research/economic-index-june-2026-report,"Vendor/product-specific evidence and self-report; not representative of all workers or agent systems."
nei-009,"1;5;12;16;18;24",2026-08-30,2026-05-05,Microsoft,2026 Work Trend Index: Agents human agency and opportunity,company survey and telemetry,"Reports agent-intensity measures tool use orchestration depth and organizational practices around delegation and human supervision.",https://www.microsoft.com/en-us/worklab/work-trend-index/agents-human-agency-and-the-opportunity-for-every-organization,"Company-sponsored survey of 20,000 AI-using knowledge workers in ten markets; selected population and self-report matter."
nei-010,"1;5;13;24",2026-08-30,2026-05-08,METR,Task-Completion Time Horizons of Frontier AI Models,independent evaluation,"Measures the human-expert task duration at which frontier agents reach specified success probabilities on a software task suite.",https://metr.org/time-horizons/,"Task difficulty measure not literal autonomous run time; METR warns measurements above 16 hours are unreliable with its current suite."
nei-011,"6;8;13;16;19;20;21;22;24",2026-08-30,2024-07-26,National Institute of Standards and Technology,Artificial Intelligence Risk Management Framework: Generative Artificial Intelligence Profile,government technical guidance,"Cross-sector lifecycle risk-management guidance used for governance evaluation verification documentation and risk framing of persistent agents.",https://www.nist.gov/publications/artificial-intelligence-risk-management-framework-generative-artificial-intelligence,"Voluntary U.S. guidance; not specific to durable agents and does not itself ensure safety."
nei-012,"6;8;13;16;19;20;21;24",2026-08-30,2026,National Institute of Standards and Technology,AI Risk Management Framework program,government program page,"Shows continuing work on AI risk management and 2026 critical-infrastructure profile development.",https://www.nist.gov/itl/ai-risk-management-framework,"Framework revision is ongoing; use broad lifecycle concepts rather than implying settled agent-specific regulation."
nei-013,"7;11;13;23",2026-08-30,2011,Martin Fowler,The LMAX Architecture,software architecture case study,"Uses event sourcing and durable input history to rebuild in-memory application state after crashes; useful concrete precedent for replaceable computation plus replayable state.",https://www.martinfowler.com/articles/lmax.html,"Specialized architecture and historical case; should not be generalized into a universal agent design."
nei-014,"1;5;12;18;24",2026-08-30,2026-07-14,Temporal,Building Durable Production-Ready Agents with the OpenAI Agents SDK and Temporal,developer webinar page,"Current developer evidence that production agent builders are explicitly confronting hours-days-weeks-months execution and distributed-system failure modes.",https://pages.temporal.io/building-durable-production-ready-agents.html,"Joint vendor framing; evidence of engineering direction rather than neutral adoption measurement."
