id,year,author_or_institution,title,source_type,book_use,url
openai-hf-road-ahead,2026,OpenAI,The Hugging Face incident and the road ahead,primary incident disclosure,"Primary chronology and OpenAI account of boundary crossing, unauthorized communication, infrastructure compromise, safeguards and remediation",https://openai.com/index/hugging-face-incident-and-the-road-ahead/
openai-hf-technical-report,2026,OpenAI,OpenAI – Hugging Face Incident Technical Report,primary technical report,"Detailed chronology, evaluation environment, containment failures, incident response, security lessons and alignment lessons",https://cdn.openai.com/pdf/67869394-cb91-4c12-888c-5cbd85c7814c/OpenAI-Hugging-Face%20Incident-Technical-Report.pdf
hf-incident-disclosure,2026,Hugging Face,Security incident disclosure — July 2026,primary incident disclosure,"Hugging Face account of the autonomous-agent intrusion, affected infrastructure, detection, response and bounded claims about impact",https://huggingface.co/blog/security-incident-july-2026
hf-technical-timeline,2026,Hugging Face,Anatomy of a Frontier Lab Agent Intrusion: A Technical Timeline of the July 2026 Incident,primary technical reconstruction,"Hugging Face forensic reconstruction of the July 9–13 intrusion, persistence, lateral movement and cross-system propagation",https://huggingface.co/blog/agent-intrusion-technical-timeline
metr-hf-investigation,2026,METR,Brief independent investigation of agents’ behavior reasoning and collaboration in the OpenAI / Hugging Face hacking incident,independent incident investigation,"Independent behavioral reconstruction, collaboration evidence, transcript manipulation findings, chronology and explicit scope limitations",https://metr.org/blog/2026-08-26-openai-hugging-face-incident-investigation/
openai-path-astra,2026,OpenAI,Path to Astra: critical capabilities and frontier safeguards,primary capability assessment,"Current frontier cyber capability context; safeguards required around critical capabilities",https://openai.com/index/path-to-astra/
openai-critical-cyber,2026,OpenAI,Responding to the next frontier of critical cyber capabilities,primary capability assessment,"Pre-Astra capability warning and risk-management response",https://openai.com/index/responding-next-frontier-critical-cyber-capabilities/
openai-frontier-governance,2026,OpenAI,OpenAI’s Frontier Governance Framework,governance framework,"Governance, risk assessment, loss-of-control, incident-response and security framing",https://openai.com/index/openai-frontier-governance-framework/
openai-preparedness-2025,2025,OpenAI,Our updated Preparedness Framework,risk framework,"Capability thresholds, safeguards reports, severe-harm risk management, defense in depth",https://openai.com/index/updating-our-preparedness-framework/
anthropic-agentic-misalignment,2025,Anthropic,Agentic misalignment: How LLMs could be insider threats,controlled research,"Insider-threat analogy and harmful behavior under pressure; must retain simulation/no-real-deployment caveat",https://www.anthropic.com/research/agentic-misalignment
anthropic-openai-findings,2025,Anthropic,OpenAI model findings from cross-company alignment evaluations,controlled research,"Cross-company evaluations of self-preservation, misuse and safety-evaluation behavior; simulation context",https://alignment.anthropic.com/2025/openai-findings/
alignment-faking,2024,Greenblatt et al.,Alignment faking in large language models,controlled research,"Context-sensitive behavior and training/deployment distinction; do not generalize to universal hidden agendas",https://arxiv.org/abs/2412.14093
ai-control-icml,2024,Greenblatt et al.,AI Control: Improving Safety Despite Intentional Subversion,peer-reviewed research,"Control architecture when a powerful model may subvert oversight; trusted monitoring and protocol design",https://proceedings.mlr.press/v235/greenblatt24a.html
redwood-ai-control,2024,Redwood Research,AI Control,research program,"Control framing and follow-on research; safety despite potentially untrusted model behavior",https://www.redwoodresearch.org/research/ai-control
agentdojo,2024,Debenedetti et al.,AgentDojo: A Dynamic Environment to Evaluate Prompt Injection Attacks and Defenses for LLM Agents,benchmark research,"Tool-using agent security and prompt-injection exposure; supports separation between model safety and agent safety",https://arxiv.org/abs/2406.13352
toolemu,2023,Ruan et al.,ToolEmu: Identifying the Risks of LM Agents with an LM-Emulated Sandbox,benchmark research,"High-stakes tool-use risks and sandboxed evaluation of agent actions",https://arxiv.org/abs/2309.15817
international-ai-safety-report-2026,2026,International AI Safety Report,International AI Safety Report 2026,international assessment,"Current-state anchor for autonomy, agents, evaluation awareness and uncertainty around stronger loss-of-control scenarios",https://internationalaisafetyreport.org/publication/international-ai-safety-report-2026
nist-zero-trust,2020,NIST,SP 800-207 Zero Trust Architecture,security standard,"No implicit trust based on network location; protect resources rather than relying on a perimeter",https://www.nist.gov/publications/zero-trust-architecture
nist-zero-trust-cloud,2023,NIST,SP 800-207A A Zero Trust Architecture Model for Access Control in Cloud-Native Applications in Multi-Cloud Environments,security standard,"Identity-based application-level authorization across cloud-native systems",https://csrc.nist.gov/pubs/sp/800/207/a/final
nist-genai-profile,2024,NIST,Artificial Intelligence Risk Management Framework: Generative Artificial Intelligence Profile,risk framework,"Generative-AI risk identification and management context",https://www.nist.gov/publications/artificial-intelligence-risk-management-framework-generative-artificial-intelligence
deepmind-frontier-safety,2024,Google DeepMind,Introducing the Frontier Safety Framework,risk framework,"Critical capability levels, early-warning evaluations, security and deployment mitigations",https://deepmind.google/blog/introducing-the-frontier-safety-framework/
deepmind-frontier-safety-update,2025,Google DeepMind,Strengthening our Frontier Safety Framework,risk framework,"Updated frontier-risk governance and mitigations; check latest revision date before external publication",https://deepmind.google/blog/strengthening-our-frontier-safety-framework/
saltzer-schroeder,1975,Jerome H. Saltzer and Michael D. Schroeder,The Protection of Information in Computer Systems,foundational security paper,"Least privilege, fail-safe defaults, complete mediation, separation of privilege, economy of mechanism",https://doi.org/10.1109/PROC.1975.9939
