id,year,author_or_institution,title,source_type,book_use,url
thompson-da-2024,2024,New York County District Attorney,Luigi Mangione Indicted for the Murder of UnitedHealthcare CEO Brian Thompson and Use of a Weapon of Mass Destruction,official release,Chapter 1 factual chronology,https://manhattanda.org/d-a-bragg-luigi-mangione-indicted-for-the-murder-of-unitedhealthcare-ceo-brian-thompson-and-use-of-a-weapon-of-mass-destruction/
psi-medicare-advantage-2024,2024,U.S. Senate Permanent Subcommittee on Investigations,Refusal of Recovery: How Medicare Advantage Companies Have Intentionally Denied Patients Access to Post-Acute Care,government report,Chapters 1 and 4 prior authorization evidence,https://www.hsgac.senate.gov/wp-content/uploads/2024.10.17-PSI-Majority-Staff-Report-on-Medicare-Advantage.pdf
cms-prior-auth-2024,2024,Centers for Medicare & Medicaid Services,CMS Interoperability and Prior Authorization Final Rule CMS-0057-F,final rule,Chapter 4 process and timing requirements,https://www.cms.gov/initiatives/burden-reduction/overview/interoperability/policies-regulations/cms-interoperability-prior-authorization-final-rule-cms-0057-f
doj-ai-hiring-2022,2022,U.S. Department of Justice Civil Rights Division,Algorithms Artificial Intelligence and Disability Discrimination in Hiring,government guidance,Chapter 5 disability and hiring automation,https://www.ada.gov/resources/ai-guidance/
eeoc-ai-ada-2022,2022,U.S. Equal Employment Opportunity Commission,The Americans with Disabilities Act and the Use of Software Algorithms and Artificial Intelligence to Assess Job Applicants and Employees,government guidance,Chapter 5 employer obligations and accommodation,https://www.eeoc.gov/eeoc-disability-related-resources/artificial-intelligence-and-ada
nyc-aedt-2021,2021,New York City Council,Local Law 144 of 2021 Automated Employment Decision Tools,local law,Chapter 5 bias audit and notice requirements,https://legistar.council.nyc.gov/LegislationDetail.aspx?GUID=B051915D-A9AC-451E-81F8-6596032FA3F9&ID=4344524
wga-mba-2023,2023,Writers Guild of America,2023 MBA Memorandum of Agreement Article 72 Generative Artificial Intelligence,collective bargaining agreement,Chapters 3 6 and 16 AI labor terms,https://www.wga.org/uploadedfiles/contracts/2023_mba_moa.pdf
sag-aftra-ai-2023,2023,SAG-AFTRA,2023 TV Theatrical Contracts,collective bargaining agreement,Chapters 6 and 16 digital replica consent and compensation,https://www.sagaftra.org/contracts-industry-resources/contracts/2023-tvtheatrical-contracts
copyright-digital-replicas-2024,2024,U.S. Copyright Office,Copyright and Artificial Intelligence Part 1 Digital Replicas,government report,Chapter 6 digital replica policy,https://www.copyright.gov/ai/
copyright-training-2025,2025,U.S. Copyright Office,Copyright and Artificial Intelligence Part 3 Generative AI Training,government report,Chapters 6 and 15 training and copyright analysis,https://www.copyright.gov/policy/artificial-intelligence/
