id,source,year,type,used_for,url,notes
S01,"Charlie Snell; Jaehoon Lee; Kelvin Xu; Aviral Kumar, Scaling LLM Test-Time Compute Optimally can be More Effective than Scaling Model Parameters",2024,academic paper,"Ch 1-3; Ch 25 test-time compute and adaptive allocation",https://arxiv.org/abs/2408.03314,"Primary technical source for inference-time scaling; emphasizes task-dependent optimal allocation rather than universal benefit from more compute."
S02,"Stanford HAI, Artificial Intelligence Index Report 2025 — Research and Development",2025,institutional report,"Ch 1-3; Ch 14-16 inference cost and hardware trends",https://hai.stanford.edu/ai-index/2025-ai-index-report/research-and-development,"Reports rapid declines in cost to reach fixed benchmark performance and continued frontier-model premiums; measurements are dated and should be refreshed in later editions."
S03,"Erik Brynjolfsson; Danielle Li; Lindsey R. Raymond, Generative AI at Work, NBER Working Paper 31161",2023,working paper,"Ch 6-8; Ch 12; Ch 18 productivity and novice effects",https://www.nber.org/papers/w31161,"Study of 5179 customer-support agents; useful for heterogeneity and skill-compression mechanism."
S04,"Fabrizio Dell'Acqua et al., Navigating the Jagged Technological Frontier: Field Experimental Evidence of the Effects of Artificial Intelligence on Knowledge Worker Productivity and Quality",2023,working paper,"Ch 7-11; Ch 19; Ch 25 jagged capability frontier",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4573321,"Field experiment with knowledge workers; central counterweight to blanket productivity claims."
S05,"Joel Becker; Nate Rush; Beth Barnes; David Rein, Measuring the Impact of Early-2025 AI on Experienced Open-Source Developer Productivity",2025,randomized controlled trial,"Ch 7-9; Ch 12; Ch 25 measured versus perceived productivity",https://metr.org/Early_2025_AI_Experienced_OS_Devs_Study-paper.pdf,"Experienced developers expected speedups but were slower in the studied setting; highly relevant falsification evidence."
S06,"Hao-Ping Lee et al., The Impact of Generative AI on Critical Thinking: Self-Reported Reductions in Cognitive Effort and Confidence Effects From a Survey of Knowledge Workers",2025,peer-reviewed conference paper,"Ch 8-10; Ch 19-20 verification and cognitive effort",https://www.microsoft.com/en-us/research/publication/the-impact-of-generative-ai-on-critical-thinking-self-reported-reductions-in-cognitive-effort-and-confidence-effects-from-a-survey-of-knowledge-workers/,"CHI 2025; survey of 319 knowledge workers and 936 examples. Self-reported evidence; do not overclaim permanent cognitive effects."
S07,"International Labour Organization, Generative AI and Jobs: A Refined Global Index of Occupational Exposure",2025,working paper,"Ch 17-19; Ch 21 labor exposure and global distribution",https://www.ilo.org/publications/generative-ai-and-jobs-refined-global-index-occupational-exposure,"Task-level global exposure framework; emphasizes transformation over simple job replacement."
S08,"Mauro Cazzaniga et al., Gen-AI: Artificial Intelligence and the Future of Work, IMF Staff Discussion Note 2024/001",2024,institutional research,"Ch 17-18; Ch 21 macro labor and inequality",https://www.imf.org/en/publications/staff-discussion-notes/issues/2024/01/14/gen-ai-artificial-intelligence-and-the-future-of-work-542379,"Useful for differing exposure and complementarity across advanced and developing economies."
S09,"International Energy Agency, Energy and AI",2025,institutional report,"Ch 15-16; Ch 21; Ch 24-25 data centres, grids, energy demand and scenarios",https://www.iea.org/reports/energy-and-ai,"Primary physical-infrastructure source. Includes multiple demand scenarios and explicit uncertainty; do not treat the base case as destiny."
S10,"World Bank, Digital Progress and Trends Report 2025: Strengthening AI Foundations",2025,institutional report,"Ch 13; Ch 17; Ch 21; Ch 24 global AI divide and four foundations",https://www.worldbank.org/en/publication/dptr2025-ai-foundations/report,"Frames inclusive AI capacity through connectivity, compute, context and competency; useful for national distribution analysis."
