id,year,author_or_institution,title,source_type,book_use,url
mata-avianca-2023,2023,U.S. District Court SDNY,"Mata v. Avianca, Inc. — Opinion and Order on Sanctions",Primary legal source,"Chapters 1, 9, 13, and 17: fabricated authorities, sanctions, verification duties, and correction costs",https://law.justia.com/cases/federal/district-courts/new-york/nysdce/1%3A2022cv01461/575368/54/
nist-ai600-1-2024,2024,NIST,"Artificial Intelligence Risk Management Framework: Generative Artificial Intelligence Profile",Government guidance,"Front matter and Chapters 2, 12, 21, 27, and 29: confabulation terminology and lifecycle risk framing",https://www.nist.gov/publications/artificial-intelligence-risk-management-framework-generative-artificial-intelligence
openai-hallucinations-2025,2025,OpenAI,"Why language models hallucinate",First-party research,"Chapters 2, 3, 19, and 29: next-token/statistical account, guessing incentives, and uncertainty-aware behavior",https://openai.com/index/why-language-models-hallucinate/
reber-schwarz-1999,1999,"Rolf Reber; Norbert Schwarz","Effects of Perceptual Fluency on Judgments of Truth",Academic journal article,"Chapter 4: perceptual fluency and truth judgments",https://pubmed.ncbi.nlm.nih.gov/10487787/
johnson-source-monitoring-1993,1993,"Marcia K. Johnson; Shahin Hashtroudi; D. Stephen Lindsay","Source monitoring",Academic review,"Chapters 4, 8, 10, 20, and 22: source monitoring and provenance of remembered information",https://pubmed.ncbi.nlm.nih.gov/8346328/
anthropic-sycophancy-2023,2023,Anthropic,"Towards Understanding Sycophancy in Language Models",First-party research,"Chapters 5, 6, and 7: belief matching and preference-trained sycophancy",https://www.anthropic.com/news/towards-understanding-sycophancy-in-language-models
stanford-ai-index-2026,2026,Stanford HAI,"The 2026 AI Index Report — Responsible AI",Research report,"Chapter 6: contemporary benchmark context for factuality and user-belief framing",https://hai.stanford.edu/ai-index/2026-ai-index-report/responsible-ai
osler-distributed-2026,2026,Lucy Osler,"Hallucinating with AI: Distributed Delusions and 'AI Psychosis'",Academic journal article,"Chapters 8 and 29: adjacent distributed-cognition literature for human-AI error",https://link.springer.com/article/10.1007/s13347-026-01034-3
c2pa-principles,n.d.,C2PA,"Guiding Principles for C2PA Designs and Specifications",Technical standard guidance,"Chapters 9, 15, 20, and 24: provenance/history infrastructure and the boundary between provenance and truth",https://c2pa.org/principles/
c2pa-content-credentials-2-3-2026,2026,C2PA,"The C2PA Launches Content Credentials 2.3 and Celebrates 5 Years of Impact Across the Digital Ecosystem",Technical standard release,"Chapter 24: current provenance capabilities, file/live-video support, editing history, cloud integration, and security context",https://c2pa.org/the-c2pa-launches-content-credentials-2-3-and-celebrates-5-years-of-impact-across-the-digital-ecosystem/
c2pa-conformance-2026,2026,C2PA,"Conformance",Technical standard governance,"Chapter 24: conforming-product and trust-list infrastructure; implementation assurance without treating provenance as truth",https://c2pa.org/conformance/
leica-m11p-content-credentials-2023,2023,Leica Camera,"New: Leica M11-P",First-party product documentation,"Chapter 24: concrete in-camera signed-capture example for Content Credentials and provenance-at-capture",https://leica-camera.com/en-US/press/new-leica-m11-p
lewadowsky-correction-2012,2012,"Stephan Lewandowsky et al.","Misinformation and Its Correction: Continued Influence and Successful Debiasing",Academic review,"Chapters 10 and 17: persistence of misinformation and correction dynamics",https://pubmed.ncbi.nlm.nih.gov/26173286/
moffatt-air-canada-2024,2024,British Columbia Civil Resolution Tribunal,"Moffatt v. Air Canada, 2024 BCCRT 149",Primary legal source,"Chapter 11: institutional responsibility for inaccurate chatbot information in the case's specific legal posture",https://canlii.org/en/bc/bccrt/doc/2024/2024bccrt149/2024bccrt149.html
parasuraman-manzey-2010,2010,"Raja Parasuraman; Dietrich H. Manzey","Complacency and Bias in Human Use of Automation: An Attentional Integration",Academic review,"Chapters 5, 12, 18, 23, and 26: automation bias, complacency, workload, and expert-user effects",https://journals.sagepub.com/doi/10.1177/0018720810376055
aba-formal-opinion-512-2024,2024,American Bar Association,"Formal Opinion 512 — Generative Artificial Intelligence Tools",Professional ethics guidance,"Chapters 13 and 27: competence, supervision, candor, and verification in legal AI use",https://www.americanbar.org/content/dam/aba/administrative/professional_responsibility/ethics-opinions/aba-formal-opinion-512.pdf
shah-clinical-notes-2024,2024,Savyasachi V. Shah,"Accuracy, Consistency, and Hallucination of Large Language Models When Analyzing Unstructured Clinical Notes in Electronic Medical Records",Academic journal article,"Chapter 14: task-level evidence on LLM analysis of clinical notes",https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2822301
parasuraman-riley-1997,1997,"Raja Parasuraman; Victor Riley","Humans and Automation: Use, Misuse, Disuse, Abuse",Academic journal article,"Chapters 4, 12, 16, 18, 23, 26, and 28: trust, misuse, disuse, workload, and risk in automation",https://journals.sagepub.com/doi/abs/10.1518/001872097778543886
shumailov-model-collapse-2024,2024,"Ilia Shumailov; Zakhar Shumaylov; Yiren Zhao; Nicolas Papernot; Ross Anderson; Yarin Gal","AI models collapse when trained on recursively generated data",Peer-reviewed journal article,"Chapter 25: recursive training on model-generated data, distribution tails, and the role of retained original data",https://doi.org/10.1038/s41586-024-07566-y
renier-algorithm-error-2021,2021,"Laetitia A. Renier; Marianne Schmid Mast; Anely Bekbergenova","To err is human, not algorithmic — Robust reactions to erring algorithms",Peer-reviewed journal article,"Chapters 26 and 28: evidence that algorithmic error can trigger harsher reactions than comparable human error in the tested vignettes",https://doi.org/10.1016/j.chb.2021.106879
