source_id,chapters,access_date,publication_date,author_or_institution,title,source_type,claim_or_role,url,caveat
fts-001,"1;2;17;18;21;22;24",2026-08-30,2026,Stanford Institute for Human-Centered AI,The 2026 AI Index Report,independent annual report,"Tracks rapid adoption, benchmark progress, investment, education, policy and public opinion; used to establish diffusion and institutional lag.",https://hai.stanford.edu/ai-index/2026-ai-index-report,"Large synthesis drawing on many datasets; individual figures retain their underlying methodological limits."
fts-002,"2;9;17;18;21",2026-08-30,2026-05-08,METR,Task-Completion Time Horizons of Frontier AI Models,independent evaluation,"Measures the human-task-duration level at which frontier agents reach specified success probabilities on a suite of software tasks.",https://metr.org/time-horizons/,"A task-difficulty measure, not literal autonomous run time; software tasks do not represent all cognitive work."
fts-003,"3;12;25",2026-08-30,1966-01-01,Joseph Weizenbaum,ELIZA—a computer program for the study of natural language communication between man and machine,academic paper,"Historical evidence that relatively simple conversational machinery could evoke strong human interpretive and social responses.",https://doi.org/10.1145/365153.365168,"ELIZA did not possess modern language-model capabilities; social response is not evidence of understanding."
fts-004,"3;5;6;12;25",2026-08-30,2000,Clifford Nass and Youngme Moon,Machines and Mindlessness: Social Responses to Computers,academic review,"Reviews experiments showing that people apply politeness, reciprocity, social categories and personality expectations to computers.",https://doi.org/10.1111/0022-4537.00153,"Experiments involved earlier computer interfaces; magnitude and form of effects may differ for modern systems."
fts-005,"4;18;22;25",2026-08-30,2016,Google DeepMind,AlphaGo,developer research history,"Documents AlphaGo's match with Lee Sedol and the cultural significance assigned to Move 37 and later AlphaGo systems.",https://deepmind.google/research/alphago/,"Developer retrospective; one game and one domain do not establish general intelligence."
fts-006,"12;16;21;24",2026-08-30,2025-03-21,OpenAI and MIT Media Lab,Early methods for studying affective use and emotional well-being on ChatGPT,developer-academic research,"Observational and controlled work on emotional engagement with conversational AI and variation in social and emotional outcomes.",https://openai.com/index/affective-use-study/,"Early research with product-specific populations; does not establish long-term causal effects for all users."
fts-007,"12;16;21;24",2026-08-30,2025-07-16,Common Sense Media,Talk Trust and Trade-Offs: How and Why Teens Use AI Companions,survey report,"Nationally representative U.S. teen survey on AI companion use, social interaction and serious conversations.",https://www.commonsensemedia.org/research/talk-trust-and-trade-offs-how-and-why-teens-use-ai-companions,"Focused on U.S. teens and self-report; organization advocates precautionary restrictions."
fts-008,"11;16;17;24",2026-08-30,2026-06-08,Common Sense Media,A Comprehensive Report on Teens Tweens and AI,survey report,"Survey evidence that AI use is already widespread among U.S. children ages 9–17 and family/school safety conversations lag usage.",https://www.commonsensemedia.org/research/a-comprehensive-report-on-teens-tweens-and-ai,"Self-reported U.S. sample; youth products and behavior change rapidly."
fts-009,"11;16;23;24",2026-08-30,2023-09-07,UNESCO,Guidance for generative AI in education and research,intergovernmental guidance,"Documents policy lag and proposes human-centered educational and age-appropriate approaches to generative AI.",https://www.unesco.org/en/articles/guidance-generative-ai-education-and-research?hub=67098,"Normative guidance rather than causal evidence of educational outcomes; updated 2026."
fts-010,"5;9;10;15;17;21;24",2026-08-30,2026-06-26,Anthropic,Anthropic Economic Index report: Cadences,developer economic research,"Documents shift from chat toward long-running agentic tasks and user-reported changes in speed scope quality and delegation.",https://www.anthropic.com/research/economic-index-june-2026-report,"Product-specific data and self-report; users are selected and not representative of the whole workforce."
fts-011,"5;9;10;11;15;23;24",2026-08-30,2026-05-05,Microsoft,2026 Work Trend Index: Agents human agency and opportunity,company survey and telemetry,"Reports worker use of agents, organizational readiness, advanced user practices and changing human-agent work patterns.",https://www.microsoft.com/en-us/worklab/work-trend-index/agents-human-agency-and-the-opportunity-for-every-organization,"Company-sponsored research; much of the readiness and impact evidence is self-reported."
fts-012,"10;15;17;22;24",2026-08-30,2026-08-12,OpenAI,Enterprise signals: What frontier firms are doing differently,developer enterprise research,"Describes enterprise movement from assistance to delegation and the role of context and tools in agentic work.",https://openai.com/signals/enterprise-data/,"Developer/customer-base evidence and product telemetry are not neutral economy-wide measures."
fts-013,"15;17;21;23;24",2026-08-30,2025-05-20,International Labour Organization,Generative AI and jobs: A 2025 update,intergovernmental labor research,"Estimates occupational exposure to generative AI and emphasizes that transformation is more common than direct full-job automation in its framework.",https://www.ilo.org/publications/generative-ai-and-jobs-2025-update,"Exposure scores are task-based estimates, not realized job losses or productivity gains."
fts-014,"13;20;21;23;24",2026-08-30,2024-07-26,National Institute of Standards and Technology,Artificial Intelligence Risk Management Framework: Generative Artificial Intelligence Profile,government technical guidance,"Provides cross-sector risk-management concepts for generative AI without relying on questions of machine personhood.",https://www.nist.gov/publications/artificial-intelligence-risk-management-framework-generative-artificial-intelligence,"Voluntary U.S. guidance; framework is being revised and does not by itself ensure compliance or safety."
fts-015,"13;20;23;24",2026-08-30,2024-06-13,European Union,Regulation EU 2024/1689 Artificial Intelligence Act,law,"Provides a major statutory example of governing AI through risk categories documentation transparency and provider/deployer duties.",https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32024R1689,"Phased implementation and later amendments matter; EU law is not a global template."
fts-016,"14;17;18;21;22",2026-08-30,2025-03-12,Google DeepMind,Gemini Robotics brings AI into the physical world,developer research announcement,"Shows vision-language-action and embodied-reasoning systems connecting language perception planning and robot control.",https://deepmind.google/blog/gemini-robotics-brings-ai-into-the-physical-world/,"Developer demonstrations under selected conditions; not evidence of general household or industrial reliability."
fts-017,"14;17;22",2026-08-30,2026-04-14,Google DeepMind,Gemini Robotics-ER 1.6: Powering real-world robotics tasks through enhanced embodied reasoning,developer research announcement,"Illustrates continued work on spatial and physical reasoning for robots in 2026.",https://deepmind.google/blog/gemini-robotics-er-1-6/,"Developer-reported capability; deployment economics and robustness remain separate questions."
fts-018,"14;17;22",2026-08-30,2026-07,Google DeepMind,Gemini Robotics 2 brings whole body intelligence to robots,developer research announcement,"Reports longer task sequences self-correction and multi-robot coordination as an embodiment trajectory.",https://deepmind.google/blog/gemini-robotics-2-brings-whole-body-intelligence-to-robots/,"Recent developer announcement; independent validation and real-world generalization may lag."
fts-019,"14;21",2026-08-30,2026-08-27,Reuters,China can build kung fu-fighting robots But it can't get them to do factory work,independent reporting,"Counter-evidence on humanoid robotics: impressive demonstrations coexist with limits in factory usefulness cost precision and demand.",https://www.reuters.com/investigations/chinas-humanoid-robots-arent-smart-enough-take-your-job-yet-2026-08-27/,"News reporting based on interviews and observed industry conditions; country-specific."
fts-020,"17;18;20;21;24",2026-08-30,2026,Stanford Institute for Human-Centered AI,Public Opinion chapter — 2026 AI Index,independent synthesis,"Tracks rising optimism and anxiety workplace use companionship expectations and trust in regulation across countries.",https://hai.stanford.edu/ai-index/2026-ai-index-report/public-opinion,"Aggregates surveys with differing samples and question wording; attitudes can change quickly."
fts-021,"1;5;10;17;22;24",2026-08-30,2026,Stanford Institute for Human-Centered AI,Economy chapter — 2026 AI Index,independent synthesis,"Tracks organizational adoption generative-AI diffusion investment and early agent deployment patterns.",https://hai.stanford.edu/ai-index/2026-ai-index-report/economy,"Adoption surveys measure use more readily than depth quality or return on investment."
fts-022,"1;4;9;17;18;21;25",2026-08-30,2026,Stanford Institute for Human-Centered AI,Technical Performance chapter — 2026 AI Index,independent synthesis,"Provides benchmark and model-performance context including rapid gains and benchmark saturation.",https://hai.stanford.edu/ai-index/2026-ai-index-report,"Benchmark improvement is not identical to real-world reliability or general intelligence."
fts-023,"11;16;23;24",2026-08-30,2026,Stanford Institute for Human-Centered AI,Education chapter — 2026 AI Index,independent synthesis,"Documents rapid student use of generative AI and lagging clarity of school policies.",https://hai.stanford.edu/ai-index/2026-ai-index-report,"Survey evidence varies by education system and may not measure learning quality."
fts-024,"3;25",2026-08-30,1994,Clifford Nass Jonathan Steuer and Ellen Tauber,Computers are Social Actors,conference paper,"Foundational experiments showing automatic use of social rules in human-computer interaction.",https://doi.org/10.1145/259963.260288,"Short early-era computer interactions; should not be overextended to modern relational AI."
fts-025,"3;6;25",2026-08-30,1999,Clifford Nass and Youngme Moon,Are People Polite to Computers? Responses to Computer-Based Interviewing Systems,academic paper,"Demonstrates politeness effects in responses to computer interview systems.",https://doi.org/10.1111/j.1559-1816.1999.tb00142.x,"Politeness is one social behavior and does not establish deep attachment."
fts-026,"10;15;23;24",2026-08-30,2026-05-05,Microsoft,How Frontier Firms are rebuilding the operating model for the age of AI,company analysis,"Describes a managerial shift from tactical execution toward direction standards and evaluation as agents take on more work.",https://blogs.microsoft.com/blog/2026/05/05/how-frontier-firms-are-rebuilding-the-operating-model-for-the-age-of-ai/,"Normative company framing; claims should be cross-checked against independent labor evidence."
fts-027,"12;16;20;24",2026-08-30,2026-06-08,Common Sense Media,Common Sense Media Census: AI Use by Tweens and Teens 2026,survey report,"Reports widespread youth AI use and gaps in parent/school safety conversations.",https://www.commonsensemedia.org/press-releases/common-sense-media-releases-inaugural-annual-study-on-ai-use-by-tweens-and-teens,"Press release summary; underlying report should govern precise statistics."
fts-028,"13;24",2026-08-30,2026-07-27,European Union,Consolidated AI Act text as amended through July 2026,law,"Current consolidated legal text used to avoid relying on the original 2024 text when describing 2026 obligations.",https://eur-lex.europa.eu/eli/reg/2024/1689/2026-07-27/eng,"Legal interpretation is outside the book's scope; chapter uses broad governance structure only."
fts-029,"13;17;24",2026-08-30,2026-04-07,National Institute of Standards and Technology,AI Risk Management Framework program and 2026 critical-infrastructure profile work,government program page,"Shows continuing institutional effort to adapt risk frameworks as AI moves into consequential infrastructure.",https://www.nist.gov/itl/ai-risk-management-framework,"Framework revision remains ongoing."
fts-030,"12;16;21;24",2026-08-30,2025-11-20,Common Sense Media and Stanford Medicine Brainstorm Lab,Major AI chatbots unsafe for teen mental health support,risk assessment,"Counter-evidence against treating conversational empathy as clinical competence or safe mental-health support for minors.",https://www.commonsensemedia.org/press-releases/common-sense-media-finds-major-ai-chatbots-unsafe-for-teen-mental-health-support,"Advocacy/risk-assessment framing; not a general evaluation of all adult therapeutic or supportive uses."
fts-031,"14;22",2026-08-30,2026,Google DeepMind,Gemini Robotics ER 2 model page,developer documentation,"Describes a high-level embodied reasoning model that can converse understand physical space plan multi-step tasks and coordinate robots.",https://deepmind.google/models/gemini-robotics/embodied-reasoning/,"Capability description comes from developer; independent replication may be limited."
fts-032,"17;21;22;24;25",2026-08-30,2026,Stanford Institute for Human-Centered AI,AI Index overview 2026,independent annual report,"Summarizes mass adoption model convergence and the widening gap between capability and governance/evaluation readiness.",https://hai.stanford.edu/ai-index,"High-level summary; use chapter-specific data where possible."
