id,year,author_or_institution,title,source_type,book_use,url
"brynjolfsson-2023-genai-work","2023","Erik Brynjolfsson; Danielle Li; Lindsey R. Raymond","Generative AI at Work","NBER working paper","Chapters 1 2 4 and 18; field evidence on productivity gains and larger gains for novice or lower-skilled support workers","https://www.nber.org/papers/w31161"
"noy-zhang-2023","2023","Shakked Noy; Whitney Zhang","Experimental Evidence on the Productivity Effects of Generative Artificial Intelligence","Science article","Chapter 1; experimental evidence on speed quality and performance-gap compression in professional writing tasks","https://doi.org/10.1126/science.adh2586"
"dellacqua-2026-jagged-frontier","2026","Fabrizio Dell'Acqua et al.","Navigating the Jagged Technological Frontier: Field Experimental Evidence of the Effects of Artificial Intelligence on Knowledge Worker Productivity and Quality","Organization Science / experiment research program","Chapters 4 6 15 and 18; evidence for large gains within an AI capability frontier and failure risk outside it","https://pubsonline.informs.org/doi/10.1287/orsc.2025.21838"
"acemoglu-restrepo-2019-new-tasks","2019","Daron Acemoglu; Pascual Restrepo","Automation and New Tasks: How Technology Displaces and Reinstates Labor","Journal article / NBER working paper","Chapters 2 5 16 and 19; task displacement and reinstatement framework","https://www.nber.org/papers/w25684"
"acemoglu-restrepo-2021-wages","2021","Daron Acemoglu; Pascual Restrepo","Tasks Automation and the Rise in U.S. Wage Inequality","NBER working paper","Chapters 1 5 and 20; evidence linking automation of routine tasks to wage-structure changes","https://www.nber.org/papers/w28920"
"acemoglu-autor-johnson-2026","2026","Daron Acemoglu; David Autor; Simon Johnson","Building Pro-Worker Artificial Intelligence","NBER working paper","Chapters 2 4 8 18 and 20; expertise-leveling new-task creation and worker-centered AI distinctions","https://www.nber.org/papers/w34854"
"autor-2015-polarization","2015","David H. Autor","Why Are There Still So Many Jobs? The History and Future of Workplace Automation","Journal of Economic Perspectives article","Chapters 1 5 7 16 and 19; routine-task substitution and complementarity of problem solving adaptability and creativity","https://doi.org/10.1257/jep.29.3.3"
"ilo-2025-genai-jobs","2025","International Labour Organization","Generative AI and Jobs: A Refined Global Index of Occupational Exposure","ILO report","Chapters 1 17 19 and 20; global task exposure and transformation-versus-elimination framing","https://www.ilo.org/publications/generative-ai-and-jobs-refined-global-index-occupational-exposure"
"oecd-2026-ai-exposure","2026","OECD","The OECD AI Exposure Measure: Mapping the OECD AI Capability Indicators to Occupations","OECD Artificial Intelligence Paper","Chapters 5 6 17 and 19; current AI capability gaps across cognitive social and physical occupational requirements","https://www.oecd.org/en/publications/the-oecd-ai-exposure-measure_f3da0f0a-en.html"
"oecd-2024-changing-skills","2024","OECD","Artificial Intelligence and the Changing Demand for Skills in the Labour Market","OECD report","Chapters 7 8 16 and 19; changing skill demand alongside AI adoption","https://www.oecd.org/en/publications/artificial-intelligence-and-the-changing-demand-for-skills-in-the-labour-market_88684e36-en.html"
