id,year,author_or_institution,title,source_type,book_use,url
S01,1998,Nobel Prize,"The Prize in Economic Sciences 1998 — Press Release on Amartya Sen",Institutional summary,"Ch 2 — entitlement, famine, and access versus aggregate availability",https://www.nobelprize.org/prizes/economic-sciences/1998/press-release/
S02,2012,Science Museum,"In Pursuit of Power — Thomas Newcomen and the practical steam engine",Museum history,"Ch 3 — early steam and the mine-pumping niche",https://blog.sciencemuseum.org.uk/a-new-age/
S03,2019,Science Museum,"James Watt and the separate condenser",Museum history,"Ch 3 — Watt efficiency improvement and expansion of steam uses",https://blog.sciencemuseum.org.uk/james-watt-and-the-separate-condenser/
S04,2009,Steve Sorrell,"Jevons' Paradox revisited: The evidence for backfire from improved energy efficiency",Peer-reviewed review,"Ch 3; Ch 12 — rebound definitions and evidentiary caution",https://doi.org/10.1016/j.enpol.2008.12.003
S05,2021,"Paul E. Brockway et al.","Energy efficiency and economy-wide rebound effects: A review of the evidence and its implications",Peer-reviewed review,"Ch 3; Ch 12 — economy-wide rebound",https://doi.org/10.1016/j.rser.2021.110781
S06,1990,Paul A. David,"The Dynamo and the Computer: An Historical Perspective on the Modern Productivity Paradox",Academic paper,"Ch 4 — electrification, complementary reorganization, and productivity lag",https://www.jstor.org/stable/2006600
S07,2004,EH.net,"The U.S. Economy in the 1920s",Economic-history reference,"Ch 4 — factory electrification and distributed electric drive",https://eh.net/encyclopedia/the-u-s-economy-in-the-1920s/
S08,1945,F. A. Hayek,"The Use of Knowledge in Society",Academic paper,"Ch 5 — prices as compressed distributed information",https://www.econlib.org/library/Essays/hykKnw.html
S09,1937,R. H. Coase,"The Nature of the Firm",Academic paper,"Ch 3; Ch 5; Ch 6 — transaction costs and organizational coordination",https://doi.org/10.1111/j.1468-0335.1937.tb00002.x
S10,2004,William D. Nordhaus,"Schumpeterian Profits in the American Economy: Theory and Measurement",NBER working paper,"Ch 5; Ch 13 — value creation versus producer capture",https://www.nber.org/papers/w10433
S11,2026,Stanford HAI,"2026 AI Index Report — Research and Development",Institutional report,"Ch 7-10; Ch 13-17 — compute, chips, data centers, and environmental footprint",https://hai.stanford.edu/ai-index/2026-ai-index-report/research-and-development
S12,2025,Stanford HAI,"2025 AI Index Report — Research and Development",Institutional report,"Ch 7; Ch 10; Ch 12 — historical inference-cost and hardware-efficiency trends",https://hai.stanford.edu/ai-index/2025-ai-index-report/research-and-development
S13,2025,International Energy Agency,"Energy demand from AI — Energy and AI",Institutional report,"Ch 7; Ch 9; Ch 12; Ch 15 — data-center electricity demand and scenarios",https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai
S14,2026,International Energy Agency,"Electricity 2026 — Executive summary",Institutional report,"Ch 4; Ch 9; Ch 11; Ch 15 — grid investment, flexibility, and concentrated loads",https://www.iea.org/reports/electricity-2026/executive-summary
S15,2026,Lawrence Berkeley National Laboratory,"Queued Up 2026 Edition",Official dataset and analysis,"Ch 9 — grid interconnection queues and construction lag",https://emp.lbl.gov/queued-2026-edition-characteristics-power-plants-seeking-transmission-interconnection-end-2025
S16,2026,U.S. Bureau of Industry and Security,"Department of Commerce Revises License Review Policy for Semiconductors Exported to China",Regulation and press release,"Ch 8; Ch 16 — semiconductor controls and strategic dependence",https://www.bis.gov/press-release/department-commerce-revises-license-review-policy-semiconductors-exported-china
S17,2023,"Erik Brynjolfsson; Danielle Li; Lindsey R. Raymond","Generative AI at Work",NBER working paper,"Ch 6; Ch 10; Ch 13-14 — workplace productivity and heterogeneous worker effects",https://www.nber.org/papers/w31161
S18,2025,International Labour Organization,"Generative AI and Jobs: A Refined Global Index of Occupational Exposure",Working paper,"Ch 10; Ch 13-14 — labor exposure and task transformation",https://www.ilo.org/publications/generative-ai-and-jobs-refined-global-index-occupational-exposure
S19,2025,World Bank,"Digital Progress and Trends Report 2025: Strengthening AI Foundations",Institutional report,"Ch 15-16; Ch 22 — global AI capacity and the connectivity-compute-context-competency foundation",https://www.worldbank.org/en/publication/dptr2025-ai-foundations/report
S20,2026,International Energy Agency,"Global Energy Review 2026 — Key findings",Institutional report,"Ch 4; Ch 11; Ch 17 — electricity growth, low-emissions supply, and CO2",https://www.iea.org/reports/global-energy-review-2026/key-findings
S21,2026,International Energy Agency,"Global Energy Review 2026 — Electricity supply",Institutional report,"Ch 17 — electricity mix and decarbonization",https://www.iea.org/reports/global-energy-review-2026/electricity-supply
S22,2026,International Energy Agency,"Global Hydrogen Review 2026",Institutional report,"Ch 11 — hydrogen, electrolysis, and abundance boundary conditions",https://www.iea.org/reports/global-hydrogen-review-2026
S23,2023,U.S. Department of Energy,"Desalination Basics",Official technical explainer,"Ch 11 — reverse osmosis, pumping, brine, and non-energy constraints",https://www.energy.gov/cmei/ito/desalination-basics
S24,2021,"FERC; NERC; Regional Entity Staff","The February 2021 Cold Weather Outages in Texas and the South Central United States",Official event report,"Ch 19 — reliability, common-cause failure, and physical-system stress",https://www.ferc.gov/media/february-2021-cold-weather-outages-texas-and-south-central-united-states-ferc-nerc-and
S25,2026,International Energy Agency,"Electricity 2026 — Flexibility",Institutional report,"Ch 9; Ch 11 — flexible loads, storage, curtailment, and system balancing",https://www.iea.org/reports/electricity-2026/flexibility
S26,2026,International Energy Agency,"Global Energy Review 2026 — CO2 emissions",Institutional report,"Ch 17 — carbon constraint and avoided emissions",https://www.iea.org/reports/global-energy-review-2026/co2-emissions
S27,2026,Microsoft,"Fiscal Year 2026 Fourth Quarter Earnings Conference Call",Company investor disclosure,"Ch 7 — quarterly capital expenditure, short-lived CPU/GPU mix, and long-lived data-center assets",https://www.microsoft.com/en-us/investor/events/fy-2026/earnings-fy-2026-q4
S28,2026,NVIDIA,"NVIDIA Announces Financial Results for Second Quarter Fiscal 2027",Company earnings release,"Ch 7 — current scale of data-center revenue as evidence of capital value attached to AI infrastructure",https://nvidianews.nvidia.com/news/nvidia-announces-financial-results-for-second-quarter-fiscal-2027
S29,2026,TSMC,"TSMC 2025 Annual Report",Company annual report,"Ch 8 — Arizona production milestones, geographic expansion, and continuing investment in Taiwan, Japan, and Europe",https://investor.tsmc.com/static/annualReports/2025/english/index.html
S30,2025,Crusoe,"Crusoe Expands AI Data Center Campus in Abilene to 1.2 Gigawatts",Company project disclosure,"Ch 20 — eight-building Abilene expansion, four-million-square-foot footprint, 1.2 GW published campus capacity, and construction timing",https://crusoe.ai/newsroom/crusoe-expands-ai-data-center-campus-in-abilene-to-1-2-gigawatts
S31,2025,OpenAI,"Stargate advances with 4.5 GW partnership with Oracle",Company program disclosure,"Ch 20 — Abilene as Stargate I and distinction between site capacity and broader multi-gigawatt capacity under development",https://openai.com/index/stargate-advances-with-partnership-with-oracle/
S32,2026,ERCOT,"2025 ERCOT Annual Report",Grid-operator annual report,"Ch 20 — approximately 239 GW of large-load interconnection requests in February 2026, new generation additions, and large-load planning pressure",https://www.ercot.com/files/docs/2026/03/19/2025-ERCOT-Annual-Report-Final-Single-Pages-March-19-2026.pdf
S33,2025,City of Abilene,"Tax Abatements",Municipal records index,"Ch 20 — executed and amended tax-abatement agreements associated with Lancium and Abilene data-center phases",https://abilenetx.gov/2476/Tax-Abatements
S34,2026,City of Abilene,"FY 2026 City of Abilene Budget Book",Municipal budget,"Ch 20 — assessed valuations placing Abilene DC1 and Lancium Abilene among the city's largest property taxpayers",https://www.abilenetx.gov/DocumentCenter/View/38172/2025-2026-Fiscal-Year-Operating-Budget-PDF
S35,2026,Samaritan Research,"OpenAI Stargate: where the US sites stand",Independent research tracker,"Ch 20 — distinction among operational, under-construction, and published capacity at Abilene; timing estimates treated as analyst estimates rather than company fact",https://samaritan-research.org/publications/openai-stargate-where-the-us-sites-stand
