id,source,year,type,used_for,url,notes
S01,"Yannis Bakos, Reducing Buyer Search Costs: Implications for Electronic Marketplaces",1997,academic paper,"Ch 1-3; Ch 6; Ch 9; Ch 23 search costs and electronic intermediaries",https://pubsonline.informs.org/doi/10.1287/mnsc.43.12.1676,"Foundational model of how electronic marketplaces reduce buyer search costs; does not imply complete price convergence."
S02,"Erik Brynjolfsson and Michael D. Smith, Frictionless Commerce? A Comparison of Internet and Conventional Retailers",2000,academic paper,"Ch 2; Ch 6; Ch 23 historical counterexample to frictionless-market claims",https://pubsonline.informs.org/doi/10.1287/mnsc.46.4.563.12061,"Finds lower online friction alongside meaningful price dispersion and persistent brand/trust effects in the studied markets."
S03,"OpenAI, Buy it in ChatGPT: Instant Checkout and the Agentic Commerce Protocol",2025,primary product documentation,"Ch 1; Ch 4-5; Ch 7; Ch 14-15 live agentic checkout infrastructure",https://openai.com/index/buy-it-in-chatgpt/,"Establishes a real 2025 agentic-commerce deployment; vendor source, so adoption and welfare claims require independent evidence."
S04,"Stripe, Introducing our agentic commerce solutions",2025,primary product documentation,"Ch 1; Ch 4-5; Ch 12; Ch 15 ACP payments and merchant control",https://stripe.com/blog/introducing-our-agentic-commerce-solutions,"Describes Stripe's work with OpenAI on ACP and the trust/permission assumptions changed by agentic checkout."
S05,"Google Developers Blog, Under the Hood: Universal Commerce Protocol (UCP)",2026,primary protocol documentation,"Ch 5; Ch 14-15; Ch 18; Ch 23 interoperability and machine-readable commerce",https://developers.googleblog.com/under-the-hood-universal-commerce-protocol-ucp/,"Describes UCP as an open-source commerce standard spanning consumer surfaces, businesses, payments, APIs, A2A and MCP."
S06,"Google Cloud, Powering AI commerce with the new Agent Payments Protocol (AP2)",2025,primary protocol documentation,"Ch 4; Ch 12; Ch 16; Ch 19; Ch 23 delegated authority and payment mandates",https://cloud.google.com/blog/products/ai-machine-learning/announcing-agents-to-payments-ap2-protocol,"Useful for verifiable intent and payment-agnostic agent authorization; protocol evolution should be refreshed in later editions."
S07,"Shopify, The agentic commerce platform: Shopify connects any merchant to every AI conversation",2026,primary product documentation,"Ch 5; Ch 14-15; Ch 18 merchant catalogs and agentic channels",https://www.shopify.com/news/ai-commerce-at-scale,"Describes UCP, Agentic Storefronts and opening Shopify Catalog to non-Shopify brands; commercial claims should be treated as vendor evidence."
S08,"Shopify, Selling everything, everywhere, all at once: Spring '26 Edition",2026,primary product documentation,"Ch 5; Ch 15; Ch 18 structured product data and catalog distribution",https://www.shopify.com/news/spring-26-edition-merchant,"Reports merchant-facing Catalog/UCP capabilities and a vendor-reported conversion advantage for structured catalog data."
S09,"Shopify, Introducing Shopify Agentic Storefronts",2025,primary product documentation,"Ch 5; Ch 7; Ch 14-15 in-conversation shopping surfaces",https://www.shopify.com/news/winter-26-edition-agentic-storefronts,"Supports the claim that merchant discovery and checkout are moving into AI conversations."
S10,"Amazon, Buy for Me button on Amazon Shopping app",2025,primary product documentation,"Ch 1; Ch 5; Ch 14 agentic purchasing across merchant boundaries",https://www.aboutamazon.com/news/retail/amazon-shopping-app-buy-for-me-brands,"Beta deployment in which Amazon's app can complete purchases on participating external brand sites; do not generalize beta usage to mass adoption."
S11,"Mastercard, Mastercard unveils Agent Pay",2025,primary payments documentation,"Ch 4; Ch 12-13; Ch 16; Ch 19; Ch 21 delegated payment identity and tokenization",https://www.mastercard.com/us/en/news-and-trends/press/2025/april/mastercard-unveils-agent-pay-pioneering-agentic-payments-technology-to-power-commerce-in-the-age-of-ai.html,"Describes Agentic Tokens and consumer/business use cases; vendor vision is evidence of infrastructure investment, not forecast validation."
S12,"Mastercard, Ushering in the intelligence layer",2026,primary strategy documentation,"Ch 4; Ch 12; Ch 16; Ch 21; Ch 23 trust, services, agentic commerce",https://www.mastercard.com/us/en/news-and-trends/stories/2026/mastercard-agentic-commerce-vision.html,"Useful for payments/trust/service architecture and industry direction."
S13,"Mastercard, Agent Pay for Machines",2026,primary payments documentation,"Ch 16; Ch 23 machine-to-machine commerce and microtransactions",https://www.mastercard.com/us/en/news-and-trends/press/2026/june/mastercard-launches-agent-pay-for-machines.html,"Establishes a concrete machine-payment product category; long-run transaction volume is speculative."
S14,"Federal Trade Commission, Surveillance Pricing Study Indicates Wide Range of Personal Data Used to Set Individualized Consumer Prices",2025,regulatory research,"Ch 8; Ch 16 personalized pricing and information asymmetry",https://www.ftc.gov/news-events/news/press-releases/2025/01/ftc-surveillance-pricing-study-indicates-wide-range-personal-data-used-set-individualized-consumer,"Initial 6(b) study findings on intermediary capabilities and data inputs; examples include hypothetical illustrations and should not be described as universal retailer practice."
S15,"OECD, Dark commercial patterns",2022,policy report,"Ch 7; Ch 11; Ch 17 consumer manipulation and interface design",https://www.oecd.org/en/publications/dark-commercial-patterns_44f5e846-en.html,"Defines and synthesizes evidence on digital choice architectures that steer or manipulate consumers."
S16,"OECD, Stronger consumer protections needed to address current and emerging harms consumers face online",2024,survey summary,"Ch 11; Ch 17 prevalence and consumer harm from dark patterns",https://www.oecd.org/en/about/news/press-releases/2024/10/stronger-consumer-protections-needed-to-address-current-and-emerging-harms-consumers-face-online.html,"Summarizes a 35,000+ respondent survey across 20 countries; use for scale and prevalence, not causal estimates of each practice."
S17,"Federal Trade Commission, FTC v. Uber Technologies, Inc.",2025-2026,enforcement record,"Ch 11 recurring billing and cancellation friction",https://www.ftc.gov/legal-library/browse/cases-proceedings/2423092-uber-ftc-v,"Pending litigation as of May 2026 alleging subscription billing and cancellation violations; allegations are not findings of liability."
S18,"Federal Trade Commission, Semiannual Federal Court Litigation Status Report (December 2025)",2025,regulatory litigation status,"Ch 11 counterevidence on regulatory durability",https://www.ftc.gov/system/files/ftc_gov/pdf/2025-12-Final-Public.pdf,"Records the July 8 2025 appellate decision vacating the FTC click-to-cancel rule; important correction to outdated descriptions of the rule as operative federal law."
S19,"World Trade Organization, World Trade Report 2025: Making trade and AI work together to the benefit of all",2025,institutional report,"Ch 18; Ch 23 AI, trade costs, inclusion and policy",https://www.wto.org/english/res_e/publications_e/wtr25_e.htm,"Primary global-trade source; stresses both reduced trade costs and uneven access to infrastructure and skills."
S20,"World Trade Organization and International Chamber of Commerce, business survey on AI use in trade",2025,institutional survey,"Ch 18 firm-size and income-country adoption gaps",https://www.wto.org/english/news_e/news25_e/ecom_11dec25_240_e.htm,"Survey of 158 firms; useful directional evidence but not representative of all global firms."
S21,"World Bank, Digital Progress and Trends Report 2025: Strengthening AI Foundations",2025,institutional report,"Ch 18; Ch 23 connectivity, compute, context and competency gaps",https://www.worldbank.org/en/publication/digital-progress-and-trends-report,"Global development source for uneven AI foundations and digital participation; later editions should refresh statistics."
S22,"World Bank, Strengthening AI Foundations: Emerging Opportunities for Developing Countries",2025,institutional factsheet,"Ch 18 current figures on connectivity, compute and skills",https://www.worldbank.org/en/news/factsheet/2025/11/21/strengthening-ai-foundations-emerging-opportunities-for-developing-countries,"Accessible companion to DPTR 2025 with current distributional statistics."
