id,year,author_or_institution,title,source_type,book_use,url
ch01-wm-law,1779,William & Mary Law School,George Wythe Collection,Institutional archive,Law chair and George Wythe appointment,https://scholarship.law.wm.edu/gwythe/
ch02-uga-history,1785,University of Georgia,History and Traditions,Institutional history,1785 state-supported university charter,https://www.uga.edu/about/history-and-traditions
ch03-unc-catalog,1795,University of North Carolina at Chapel Hill,Undergraduate Catalog,Institutional catalog,1789 charter and first class in 1795,https://catalog.unc.edu/pdf/2024-25-ugrad.pdf
ch04-westpoint,1802,United States Military Academy,United States Military Academy history,Official institutional history,1802 founding and early engineering role,https://www.westpoint.edu/news/press-releases/us-military-academy-board-of-visitors-hold-july-2025-meeting
ch04-usace-1802,1802,U.S. Army Corps of Engineers,16 March 1802 Establishing the Corps of Engineers,Government history,Statutory creation of the Corps at West Point and military-academy mathematics and science training,https://www.usace.army.mil/Media/Fact-Sheets/Fact-Sheets-View/Article/4461898/015-16-march-1802-establishing-the-corps-of-engineers/
ch04-usace-history,1802,U.S. Army Corps of Engineers,A Brief History of the Corps of Engineers,Government history,West Point engineering education and Corps role in mapping roads canals and public works,https://www.usace.army.mil/About/History/Brief-History-of-the-Corps/
ch05-asd-history,1817,American School for the Deaf,History and Cogswell Heritage House,Institutional history,April 1817 opening and early public support,https://www.asd-1817.org/about/history--cogswell-heritage-house
ch05-gallaudet-legacy,1816,Gallaudet University Museum,The Legacy Begins,Institutional museum history,Laurent Clerc as a Deaf teacher and the collaborative origins of American deaf education,https://gallaudet.edu/museum/history/the-legacy-begins/
ch05-gallaudet-asl,1817,Gallaudet University Museum,American Sign Language and French Sign Language,Institutional museum history,Interaction between French Sign Language and signs already used in American communities,https://gallaudet.edu/museum/history/american-sign-language-and-french-sign-language/
ch06-emmawillard,1821,Emma Willard School,History,Institutional history,Troy Female Seminary move and curriculum context,https://www.emmawillard.org/about/history
ch06-loc-willard,1819,Library of Congress,A Plan for Improving Female Education by Emma Willard,Digitized primary source,Willard's 1819 argument for expanded and publicly recognized female education,https://www.loc.gov/resource/gdcmassbookdig.planforimproving00will/?st=list
ch07-oberlin,1833,Oberlin College,Oberlin History,Institutional history,Black admission and coeducation chronology,https://www.oberlin.edu/about-oberlin/oberlin-history
ch08-bridgewater,1840,Bridgewater State University,History of the University,Institutional history,1840 normal school opening and teacher preparation,https://www.bridgew.edu/about-us/history-of-the-university
ch08-bridgewater-catalogs,1840,Bridgewater State University Archives,Bridgewater State Normal School Catalogs and Circulars,Digitized institutional archive,Contemporaneous teacher-training curricula and third Massachusetts normal-school context,https://vc.bridgew.edu/bns_catalogs/index.2.html
ch09-berea,1855,Berea College,Early History,Institutional history,1855 school and interracial coeducational mission,https://www.berea.edu/about/early-history
ch09-wilson-berea,2006,University Press of Kentucky,Shannon H. Wilson Berea College An Illustrated History,Scholarly secondary history,Independent history of Berea's interracial mission institutional development and regional context,https://uknowledge.uky.edu/upk_higher_education/15/
ch10-howard,1867,Howard University,Charter Day history,Institutional history,March 2 1867 founding during Reconstruction,https://howard.edu/charterday2024
ch10-loc-charter,1867,Library of Congress,United States Statutes at Large Volume 14 Chapter 162,Statutory primary source,Act of March 2 1867 incorporating Howard University in the District of Columbia,https://www.loc.gov/collections/united-states-statutes-at-large/articles-and-essays/vol14-18/
ch10-na-freedmens,1865,National Archives,The Freedmen's Bureau,Government archive guide,Bureau education functions school establishment and Reconstruction institutional context,https://www.archives.gov/research/african-americans/freedmens-bureau
ch11-carlisle,1879,National Park Service,Carlisle Indian Industrial School History,Government history,1879 opening and federal assimilation mission,https://www.nps.gov/cibs/learn/historyculture/index.htm
ch11-na-carlisle,1879,National Archives,Bureau of Indian Affairs Boarding School Records Carlisle,Government archival guide,Student files registers and surviving federal boarding-school records for Carlisle,https://www.archives.gov/research/native-americans/schools/headquarters-records
ch12-tuskegee,1881,Tuskegee University,History and Mission,Institutional history,July 4 1881 founding and Booker T. Washington,https://www.tuskegee.edu/explore/History-and-Mission.html
ch12-nps-founding,1881,National Park Service,Tuskegee Institute's Founding,Government history,Lewis Adams political role state appropriation and Washington's arrival to a school existing largely in law,https://www.nps.gov/tuin/learn/historyculture/tuskegee-institute-s-founding.htm
ch12-loc-washington,1881,Library of Congress,Booker T. Washington Papers,Primary archival collection,Early Tuskegee administration Black education race relations and Washington's institutional network,https://www.loc.gov/item/mm78044669/
ch12-loc-odyssey,1900,Library of Congress,African American Odyssey Booker T. Washington Era,Library exhibition and primary-source guide,Tuskegee academic and vocational training teacher preparation and student building work,https://www.loc.gov/exhibits/african-american-odyssey/booker-t-washington-era.html
ch13-uchicago,1892,University of Chicago,Historic Achievements,Institutional history,1890 incorporation and 1892 opening,https://ahd.uchicago.edu/about/historic-achievements
ch13-founders-correspondence,1892,University of Chicago Library,University of Chicago Founders' Correspondence 1886-1892,Primary archival collection,Rockefeller Harper Goodspeed Gates and the founding design and financing of the university,https://www.lib.uchicago.edu/collex/collections/university-chicago-founders-correspondence/
ch13-president-records,1892,University of Chicago Library,Office of the President Harper Judson and Burton Administrations Records 1869-1925,Primary archival finding aid,Opening institutional structure curriculum finances buildings policy and student life,https://www.lib.uchicago.edu/e/scrc/findingaids/view.php?eadid=ICU.SPCL.OFCPRESHJB
ch14-emerson,1909,Emerson High School alumni history,Emerson School historical record,Local historical record,1909 opening and Gary school-system context,https://www.emerson65.com/EHSgraduates.htm
ch14-indiana-gary,1914,Indiana Historical Bureau,Froebel School,State historical record,Gary Plan work-study-play structure national attention and comparison with Emerson School,https://www.in.gov/history/state-historical-markers/find-a-marker/froebel-school/
ch15-lincoln,1917,Teachers College Columbia University,Lincoln School archival history,Institutional archive,1917 laboratory school founding and mission,https://library.tc.columbia.edu/blog/content/2026/may/today-in-history-celebrating-the-20th-anniversary-of-the-lincoln-school.php
ch16-scopes,1925,Rhea County Heritage and Scopes Trial Museum,Scopes Trial History,Local museum archive,Rhea County Central High School and Scopes test case,https://www.rheacountyheritage.com/trial-history
ch16-loc-scopes,1925,Library of Congress,Today in History May 5 Scopes Trial,Library historical guide,ACLU test-case offer Dayton publicity strategy Scopes participation and national controversy,https://www.loc.gov/item/today-in-history/may-05/
ch16-tn-museum,1925,Tennessee State Museum,Eight Days in Dayton 100 Years of the Scopes Trial,State museum collection,Trial chronology participants media spectacle conviction and technical reversal,https://portal.museum.tn.gov/TSM_ARGUS/Portal/TSM_Portal.aspx?d=d%2F1000&lang=en-US&p_AAEE=tab8
ch17-blackmountain,1933,Black Mountain College Museum + Arts Center,Black Mountain College History,Museum archive,1933 founding and experimental arts education,https://www.blackmountaincollege.org/history/
ch17-nc-records,1933,State Archives of North Carolina,Black Mountain College Records 1933-1956,State archival finding aid,Board faculty student finance and institutional records beginning with the 1933 founding,https://appx.archives.ncdcr.gov/findingaids/506_Black_Mountain_College_Reco_.html
ch17-nc-dreier,1933,State Archives of North Carolina,Theodore and Barbara Loines Dreier Black Mountain College Collection,State archival finding aid,Founding documents bulletins governance writings finances and educational vision from the college's early years,https://appx.archives.ncdcr.gov/findingaids/PC_1956_Theodore_and_Barbara_Lo_.html
ch18-losalamos-nps,1943,National Park Service,Development of the Manhattan Project in Los Alamos County,Government history,Ranch School acquisition closure and Project Y conversion,https://www.nps.gov/articles/000/-h-our-history-lesson-the-development-of-the-manhattan-project-in-los-alamos-county-new-mexico-wwii-heritage-city.htm
ch18-projecty-nps,1943,National Park Service,Los Alamos Manhattan Project history,Government history,Project Y site selection and wartime laboratory community,https://www.nps.gov/mapr/learn/historyculture/los-alamos.htm
ch19-lr-timeline,1957,National Park Service,Little Rock Central High School Timeline,Government history,1957 desegregation crisis and federal protection,https://www.nps.gov/chsc/learn/historyculture/timeline.htm
ch19-little-rock-nine,1957,National Park Service,The Little Rock Nine,Government biography,Students identities experiences and federal intervention,https://www.nps.gov/people/the-little-rock-nine.htm
ch19-central-school,1957,National Park Service,Little Rock Central High School,Government history,Selection process first full day and implementation details,https://www.nps.gov/articles/little-rock-central-high-school-501428.htm
ch20-berkeley-fsm,1964,University of California Berkeley,Free Speech Movement,Institutional history,1964 movement over political advocacy restrictions,https://www.berkeley.edu/free-speech/
ch20-berkeley-oercs,1964,University of California Berkeley,History of the Free Speech Movement,Institutional compliance history,Civil-disobedience tactics and policy change,https://oercs.berkeley.edu/expressive-activity-uc-berkeley/history-free-speech-movement
ch21-boston,1974,Northeastern University Archives and Special Collections,South Boston High School records,University archive,1974 willful-segregation finding and desegregation remedy,https://archivesspace.library.northeastern.edu/agents/corporate_entities/2452
ch22-cpes-ncrest,1985,Teachers College Columbia University,NCREST Publications and Resources,Research archive,Portfolio graduation requirements and public defense model,https://www.tc.columbia.edu/ncrest/publications--resources/
ch22-meier-archive,1985,Indiana University Archives,Deborah Meier Papers,Archival collection,Central Park East Secondary School opening and development,https://archives.iu.edu/catalog/InU-Li-VAB8339
ch23-mn-charter,1992,Minnesota Legislative Reference Library,Charter Schools Issue Guide,State legislative reference,First charter law and City Academy opening,https://www.lrl.mn.gov/guides/guides?issue=charter
ch23-mde-charter,2026,Minnesota Department of Education,Charter Schools,Government guidance,Current tuition-free public-school and authorizer framework,https://education.mn.gov/MDE/dse/chart/
ch24-ocw-announcement,2001,Massachusetts Institute of Technology,MIT to make nearly all course materials available free on the World Wide Web,Institutional news archive,April 2001 OpenCourseWare announcement,https://news.mit.edu/2001/ocw
ch24-ocw-pilot,2002,Massachusetts Institute of Technology,MIT launches OpenCourseWare pilot,Institutional news archive,September 2002 pilot launch,https://news.mit.edu/2002/ocw
ch24-ocw-about,2007,MIT OpenCourseWare,About MIT OpenCourseWare,Institutional history,Full curriculum milestone and open-education mission,https://ocw.mit.edu/about/
ch25-fbi-incidents,2018,Federal Bureau of Investigation,Active Shooter Incidents from 2000 to 2018,Government report,Parkland fatalities and injuries,https://www.fbi.gov/how-we-can-help-you/active-shooter-safety-resources/active-shooter-incidents-from-2000-to-2018
