id,year,author_or_institution,title,source_type,book_use,url
lsa1990,1990,"Scott Deerwester; Susan T. Dumais; George W. Furnas; Thomas K. Landauer; Richard Harshman","Indexing by latent semantic analysis","journal article","Ch 2 historical foundation for latent semantic structure and reduced-space retrieval","https://doi.org/10.1002/(SICI)1097-4571(199009)41:6%3C391::AID-ASI1%3E3.0.CO;2-9"
word2vec2013,2013,"Tomas Mikolov; Kai Chen; Greg Corrado; Jeffrey Dean","Efficient Estimation of Word Representations in Vector Space","research paper","Ch 2 continuous word representations and efficient large-corpus training","https://arxiv.org/abs/1301.3781"
glove2014,2014,"Jeffrey Pennington; Richard Socher; Christopher Manning","GloVe: Global Vectors for Word Representation","conference paper","Ch 2 distributional word geometry and the embedding lineage used by later literature-mining work","https://aclanthology.org/D14-1162/"
tshitoyan2019,2019,"Vahe Tshitoyan; John Dagdelen; Leigh Weston; Alexander Dunn; Ziqin Rong; Olga Kononova; Kristin A. Persson; Gerbrand Ceder; Anubhav Jain","Unsupervised word embeddings capture latent knowledge from materials science literature","journal article","Ch 1; 8; 9 evidence that literature embeddings recover chemical relations and can rank materials before later applications are explicit","https://doi.org/10.1038/s41586-019-1335-8"
sbert2019,2019,"Nils Reimers; Iryna Gurevych","Sentence-BERT: Sentence Embeddings using Siamese BERT-Networks","conference paper","Ch 4 efficient sentence embeddings for semantic similarity search","https://aclanthology.org/D19-1410/"
dpr2020,2020,"Vladimir Karpukhin; Barlas Oguz; Sewon Min; Patrick Lewis; Ledell Wu; Sergey Edunov; Danqi Chen; Wen-tau Yih","Dense Passage Retrieval for Open-Domain Question Answering","conference paper","Ch 4 dense retrieval evidence and the distinction between learned semantic retrieval and sparse lexical baselines","https://aclanthology.org/2020.emnlp-main.550/"
faiss2017,2017,"Jeff Johnson; Matthijs Douze; Hervé Jégou","Billion-scale similarity search with GPUs","research paper","Ch 5 large-scale vector similarity search; brute-force; approximate and compressed-domain search","https://arxiv.org/abs/1702.08734"
hnsw2016,2016,"Yu. A. Malkov; D. A. Yashunin","Efficient and robust approximate nearest neighbor search using Hierarchical Navigable Small World graphs","research paper","Ch 5 graph-based approximate nearest-neighbor indexing and hierarchical navigation","https://arxiv.org/abs/1603.09320"
youtube2016,2016,"Paul Covington; Jay Adams; Emre Sargin","Deep Neural Networks for YouTube Recommendations","conference paper","Ch 6 two-stage candidate generation and ranking at large recommendation scale","https://doi.org/10.1145/2959100.2959190"
mcnee2006,2006,"Sean M. McNee; John Riedl; Joseph A. Konstan","Being accurate is not enough: How accuracy metrics have hurt recommender systems","conference paper","Ch 6; 17 counter-evidence against equating predictive accuracy with useful recommendation","https://doi.org/10.1145/1125451.1125659"
clip2021,2021,"Alec Radford; Jong Wook Kim; Chris Hallacy; Aditya Ramesh; Gabriel Goh; Sandhini Agarwal; Girish Sastry; Amanda Askell; Pamela Mishkin; Jack Clark; Gretchen Krueger; Ilya Sutskever","Learning Transferable Visual Models From Natural Language Supervision","conference paper","Ch 7 shared text-image representation and zero-shot transfer","https://proceedings.mlr.press/v139/radford21a.html"
