id,year,author_or_institution,title,source_type,book_use,url
ch01-001,n.d.,911.gov,FAQ About Calling 911,Federal public-safety guidance,"Ch. 1 dispatch roles, call-taking, and emergency communications routing",https://www.911.gov/calling-911/frequently-asked-questions/
ch01-002,1975,NASA,"Apollo Program Summary Report, Mission Operations section",Government technical report,"Chs. 1, 5, and 11 mission-control specialization and distributed organizational cognition",https://ntrs.nasa.gov/api/citations/19750013242/downloads/19750013242.pdf
ch01-003,n.d.,World Health Organization,Interagency Integrated Triage Tool,Intergovernmental clinical guidance,"Chs. 1 and 4 acuity-based sorting, dynamic triage, and allocation under constrained attention",https://www.who.int/tools/triage
ch02-001,1999,Bryan D. Jones,Bounded Rationality,Academic review,"Ch. 2 bounded cognition and procedural limits on decision making",https://doi.org/10.1146/annurev.polisci.2.1.297
ch02-002,2023,"Erik Brynjolfsson; Danielle Li; Lindsey R. Raymond",Generative AI at Work,Empirical economics research,"Chs. 2, 5, and 15 heterogeneous productivity and learning effects from AI assistance",https://www.nber.org/papers/w31161
ch02-003,2019,OECD,Artificial Intelligence in Society,Intergovernmental research synthesis,"Ch. 2 complementary investments in data, skills, workflows, and institutions",https://www.oecd.org/en/publications/artificial-intelligence-in-society_eedfee77-en.html
ch03-001,1971,Herbert A. Simon,Designing Organizations for an Information-Rich World,Book chapter,"Ch. 3 information abundance as a source of attention scarcity",https://books.google.com/books?id=WrJneEJLS4EC
ch03-002,2012,"Lubna Ahmed; Jan W. de Fockert",Focusing on Attention: The Effects of Working Memory Capacity and Load on Selective Attention,Peer-reviewed experiment,"Ch. 3 working-memory load and distractibility in selective-attention tasks",https://pmc.ncbi.nlm.nih.gov/articles/PMC3429456/
ch03-003,n.d.,Federal Aviation Administration,Technical Discipline: Flight Deck Human Factors,Federal technical guidance,"Chs. 3, 9, and 10 automation, alerting, workload, displays, and human oversight",https://www.faa.gov/aircraft/air_cert/step/disciplines/flight_deck_human_factors
ch04-002,n.d.,World Health Organization,Mass Casualty Management,Intergovernmental clinical guidance,"Chs. 4 and 20 allocation rules when needs exceed resources and triage must adapt",https://www.who.int/teams/integrated-health-services/clinical-services-and-systems/emergency-and-critical-care/mass-casualty-management
ch04-003,n.d.,Toyota Motor Corporation,Toyota Production System,Manufacturer primary source,"Chs. 4, 11, and 19 jidoka, andon, stop authority, and exception handling",https://global.toyota/en/company/vision-and-philosophy/production-system/
ch05-003,2020,"John Joseph; Vibha Gaba","Organizational Structure, Information Processing, and Decision-Making",Academic review,"Chs. 5 and 11 organizational aggregation and constraint of information",https://doi.org/10.5465/annals.2017.0103
ch06-001,2013,U.S. Securities and Exchange Commission,SEC Charges Knight Capital With Violations of Market Access Rule,Regulatory enforcement primary source,"Chs. 6 and 17 latency, automated failure, deployment controls, and blast radius",https://www.sec.gov/newsroom/press-releases/2013-222
ch06-002,2004,U.S.-Canada Power System Outage Task Force,"Final Report on the August 14, 2003 Blackout",Binational government investigation,"Chs. 6 and 17 cascading failure, situational awareness, reliability practice, and containment",https://www.energy.gov/oe/august-2003-blackout
ch06-003,n.d.,World Health Organization,WHO-ICRC Basic Emergency Care,Clinical manual,"Ch. 6 time-sensitive conditions where delay changes outcomes",https://www.who.int/publications/i/item/9789241513081
ch07-001,n.d.,NASA,IV&V Overview,Government technical guidance,"Chs. 7 and 19 independent verification and assurance separated from development",https://www.nasa.gov/ivv-overview/
ch07-002,2023,National Institute of Standards and Technology,Artificial Intelligence Risk Management Framework (AI RMF 1.0),Federal framework,"Chs. 7 and 19 continuous lifecycle risk management through govern, map, measure, and manage",https://www.nist.gov/publications/artificial-intelligence-risk-management-framework-ai-rmf-10
ch07-003,2023,OECD,Advancing accountability in AI,Intergovernmental policy paper,"Chs. 7 and 19 accountability, assessment, due diligence, and lifecycle governance",https://www.oecd.org/en/publications/advancing-accountability-in-ai_2448f04b-en.html
ch08-001,n.d.,NASA,NASA Lessons Learned,Government knowledge-management system,"Ch. 8 reviewed lessons, institutional memory, and feedback into training and practice",https://www.nasa.gov/nasa-lessons-learned/
ch08-002,n.d.,NASA,Lessons Learned,Government knowledge-management guidance,"Ch. 8 collection, recording, dissemination, and application of institutional lessons",https://www.nasa.gov/learning-resources/for-professionals/appel-lessons-learned/
ch08-003,n.d.,U.S. Nuclear Regulatory Commission,Three Mile Island Accident of 1979 Knowledge Management Digest,Regulatory knowledge-management archive,"Ch. 8 preservation of accident knowledge and downstream changes in training, human factors, and oversight",https://www.nrc.gov/reading-rm/doc-collections/nuregs/knowledge/km0001/r1/index
ch09-001,2024,OECD,OECD AI Principles,Intergovernmental standard,"Chs. 9, 16, 19, and 20 human agency, transparency, challenge, robustness, override, and accountability",https://www.oecd.org/en/topics/ai-principles.html
ch09-002,2023,NIST,AI RMF Core,Federal framework,"Chs. 9 and 20 context-sensitive and continuous AI risk management across the lifecycle",https://airc.nist.gov/airmf-resources/airmf/5-sec-core/
ch10-001,1979,U.S. Nuclear Regulatory Commission,Backgrounder on the Three Mile Island Accident,Federal incident summary,"Ch. 10 equipment, indication, alarms, operator action, and later human-factors reforms",https://www.nrc.gov/reading-rm/doc-collections/fact-sheets/3mile-isle
ch10-003,n.d.,U.S. Nuclear Regulatory Commission,Human Factors Engineering safety parameter display guidance,Regulatory technical review,"Ch. 10 control-room overview, centralized display, and interface contribution to accident severity",https://www.nrc.gov/cdn/legacy/reading-rm/doc-collections/nuregs/staff/sr1793/initial/chapter18.pdf
ch12-001,2004,"Justin Wolfers; Eric Zitzewitz",Prediction Markets,NBER working paper,"Ch. 12 conditions under which prediction markets aggregate dispersed information and forecast usefully",https://www.nber.org/papers/w10504
ch12-002,2006,"Justin Wolfers; Eric Zitzewitz",Interpreting Prediction Market Prices as Probabilities,NBER working paper,"Ch. 12 conditions and biases in interpreting binary market prices as probabilities",https://www.nber.org/papers/w12200
ch12-003,1945,F. A. Hayek,The Use of Knowledge in Society,American Economic Review article,"Ch. 12 price systems and coordination of dispersed local knowledge",https://www.econlib.org/library/Essays/hykKnw.html
ch13-001,n.d.,GPS.gov,GPS.gov Home,U.S. government infrastructure documentation,"Ch. 13 GPS as widely available public positioning, navigation, and timing infrastructure",https://www.gps.gov/
ch13-002,n.d.,GPS.gov,Policies and Documentation,U.S. government policy documentation,"Ch. 13 civilian GPS access, open interfaces, and public-infrastructure governance",https://www.gps.gov/policies-and-documentation
ch13-003,2025,OECD,Governing with Artificial Intelligence,Intergovernmental policy report,"Chs. 13 and 16 public-sector AI benefits, opacity, divides, error propagation, trust, and appeal",https://www.oecd.org/en/publications/governing-with-artificial-intelligence_795de142-en.html
ch14-001,2024,National Telecommunications and Information Administration,New NTIA Data Show 13 Million More Internet Users in the U.S. in 2023 than 2021,Federal statistical analysis,"Ch. 14 persistent income and device disparities in U.S. internet access",https://www.ntia.gov/blog/2024/new-ntia-data-show-13-million-more-internet-users-us-2023-2021
ch14-002,n.d.,NTIA,Data Central,Federal data portal,"Ch. 14 internet-use, device, adoption, and geographic access data",https://www.ntia.gov/topics/data-central
ch14-003,n.d.,GPS.gov,GPS Services,U.S. government infrastructure documentation,"Ch. 14 local complements and receiver requirements beneath nominally global infrastructure",https://www.gps.gov/gps
ch15-001,2023,"U.S. Department of Education, Office of Educational Technology",Artificial Intelligence and the Future of Teaching and Learning,Federal policy report,"Ch. 15 teaching, learning, equity, safety, and human decision making in AI-enabled education",https://www.ed.gov/sites/ed/files/documents/ai-report/ai-report.pdf
ch15-002,2023,UNESCO,Guidance for generative AI in education and research,Intergovernmental guidance,"Ch. 15 human-centered, age-appropriate, equitable, and pedagogically validated generative-AI use",https://www.unesco.org/en/articles/guidance-generative-ai-education-and-research
ch16-002,2025,OECD,Compendium of best practices for human-centered AI in the world of work,Intergovernmental policy report,"Ch. 16 worker accountability, explainability, oversight, traceability, and redress",https://www.oecd.org/content/dam/oecd/en/publications/reports/2025/12/compendium-of-best-practices-for-the-human-centered-adoption-of-safe-secure-and-trustworthy-ai-in-the-world-of-work_90541127/INMX2843.pdf
ch17-003,n.d.,NASA,Software Assurance and Software Safety,Government technical standard/guidance,"Ch. 17 lifecycle assurance, hazard analysis, independent testing, and adverse-condition response",https://sma.nasa.gov/sma-disciplines/software-assurance-and-software-safety
ch18-001,2009,National Transportation Safety Board,US Airways Flight 1549 investigation,Federal accident investigation,"Ch. 18 emergency response, retained human competence, training, and coupled safety systems",https://www.ntsb.gov/investigations/Pages/DCA09MA026.aspx
ch18-002,n.d.,Federal Aviation Administration,Human Factors in Aviation Safety,Federal technical guidance,"Ch. 18 automation, pilot performance, procedures, training, displays, and controls as a coupled safety system",https://www.faa.gov/aircraft/air_cert/design_approvals/human_factors
ch18-003,2012,Bureau d’Enquêtes et d’Analyses,Air France AF447 Final Report,National aviation accident investigation,"Ch. 18 automation loss and manual flight-path management under unreliable airspeed in a complex accident chain",https://bea.aero/en/investigation-reports/notified-events/detail/accident-to-the-airbus-a330-203-registered-f-gzcp-and-operated-by-air-france-occured-on-06-01-2009-in-the-atlantic-ocean/
