id,year,author_or_institution,title,source_type,book_use,url
sc-ch01-001,2025,International Renewable Energy Agency,"Renewable Power Generation Costs in 2024",annual cost report,"Chapters 1-5 and 10: global PV cost decline, utility-scale balance-of-system share, battery storage cost decline, and hybrid-system context; distinguish LCOE, installed cost, storage duration, and delivered-system cost.",https://www.irena.org/Digital-Report/Renewable-Power-Generation-Costs-in-2024
sc-ch01-002,2026,International Energy Agency,"Electricity 2026 — Supply",annual electricity forecast,"Chapters 1 and 24: solar PV generation growth and forecast milestones through 2030; forecasts are scenario-dependent and dated.",https://www.iea.org/reports/electricity-2026/supply
sc-ch01-003,2025,U.S. Department of Energy,"Solar Achievements Timeline",government historical timeline,"Chapter 1: practical silicon PV development in the 1950s and early commercial milestones; timeline context rather than complete global history.",https://www.energy.gov/eere/solar/solar-achievements-timeline
sc-ch02-001,2025,International Energy Agency,"World Energy Investment 2025 — Executive Summary",annual investment report,"Chapters 2, 10, and 18: approximately USD 450 billion solar investment in 2025, grid investment context, regional financing imbalance, and African investment constraints.",https://www.iea.org/reports/world-energy-investment-2025/executive-summary
sc-ch02-002,2025,U.S. Department of Energy,"Crystalline Silicon Photovoltaics Research",government technology overview,"Chapters 2 and 8: silicon PV technology and semiconductor-manufacturing background; not project-economics evidence.",https://www.energy.gov/cmei/systems/crystalline-silicon-photovoltaics-research
sc-ch03-001,2025,International Energy Agency,"Renewables 2025 — Renewable Electricity",annual renewable forecast,"Chapters 3, 14, 15, 22, and 23: solar-led renewable growth; curtailment and negative-price hours; need for storage, demand flexibility, dispatchable resources, and grid investment.",https://www.iea.org/reports/renewables-2025/renewable-electricity
sc-ch04-001,2025,International Energy Agency,"Building the Future Transmission Grid — Executive Summary",infrastructure report,"Chapters 4, 12, and 13: roughly 1,650 GW of advanced solar and wind projects waiting for grid connections in 2024; transformer and cable lead-time pressure; queue capacity is not guaranteed buildout.",https://www.iea.org/reports/building-the-future-transmission-grid/executive-summary
sc-ch04-002,2025,International Energy Agency,"Grid Investments",infrastructure analysis,"Chapters 4, 11, 13, and 15: demand growth, grid expansion and modernization, and the potential for efficiency/flexibility to substitute for part of physical expansion.",https://www.iea.org/reports/grid-investments
sc-ch04-003,2025,International Energy Agency,"Building the Future Transmission Grid",infrastructure report,"Chapters 4 and 12: transmission supply-chain constraints, long planning cycles, procurement, permitting, cable, and transformer manufacturing.",https://www.iea.org/reports/building-the-future-transmission-grid
sc-ch09-001,2025,IEA Photovoltaic Power Systems Programme,"Trends in Photovoltaic Applications 2025",international technology market report,"Chapter 9: cumulative and annual global PV deployment in 2024 and China's large share of annual installations; ranges reflect report methodology.",https://iea-pvps.org/trends_reports/trends-2025/
sc-ch11-001,2025,International Energy Agency,"Global Critical Minerals Outlook 2025 — Executive Summary",critical minerals outlook,"Chapter 11: strong energy-sector mineral demand growth and grid investment as a major driver of copper demand.",https://www.iea.org/reports/global-critical-minerals-outlook-2025/executive-summary
sc-ch11-002,2025,International Energy Agency,"Copper",critical minerals outlook,"Chapter 11: copper demand, secondary supply, concentration, and projected supply-gap risk under IEA scenarios; projections are not certainties.",https://www.iea.org/reports/copper-2
sc-ch12-001,2025,International Energy Agency,"Building the Future Transmission Grid — Executive Summary",infrastructure report,"Chapter 12: IEA industry survey finding cable procurement around two-to-three years and large power transformers up to four years, with average lead times nearly doubling since 2021.",https://www.iea.org/reports/building-the-future-transmission-grid/executive-summary
sc-ch14-001,2025,International Energy Agency,"Renewables 2025 — Executive Summary",annual renewable forecast,"Chapter 14: rising curtailment and negative-price hours in multiple markets coinciding with high variable-renewable output and the corresponding need for system flexibility.",https://www.iea.org/reports/renewables-2025/executive-summary
sc-ch18-001,2025,International Energy Agency,"Financing Electricity Access in Africa — Beyond New Connections",energy-access finance report,"Chapter 18: affordability constraints and cost of capital for electricity-access projects estimated at three to four times advanced-economy grid projects.",https://www.iea.org/reports/financing-electricity-access-in-africa/beyond-new-connections
sc-ch18-002,2024,World Bank ESMAP and GOGLA,"Off-grid Solar Could Provide First-time Electricity Access to Almost 400 Million People Globally by 2030",public development report release,"Chapter 18: off-grid solar role in first-time access and the investment gap; projections are dated scenarios rather than guaranteed outcomes.",https://www.worldbank.org/en/news/press-release/2024/10/08/off-grid-solar-could-provide-first-time-electricity-access-to-almost-400-million-people-globally-by-2030
sc-ch18-003,2025,International Energy Agency,"World Energy Investment 2025",annual investment report,"Chapter 18: regional energy-investment imbalance and role of development finance and domestic capital markets in emerging and developing economies.",https://www.iea.org/reports/world-energy-investment-2025
sc-ch19-001,2025,International Energy Agency,"China's Official Energy Finance in Emerging and Developing Economies",international energy-finance report,"Chapters 18-19: geographic concentration of global clean-energy investment and evolution of cross-border energy and clean-technology finance.",https://www.iea.org/reports/chinas-official-energy-finance-in-emerging-and-developing-economies
sc-ch21-001,2026,U.S. Department of Energy,"End-of-Life Management for Solar Photovoltaics",government lifecycle guidance,"Chapter 21: module lifetime context, young age of global installed fleet, current recycling economics in the United States, and lifecycle design/recovery research.",https://www.energy.gov/cmei/systems/end-life-management-solar-photovoltaics
sc-ch21-002,2026,U.S. Department of Energy,"Life Cycle of Photovoltaic Systems: Prepare for the End of a Performance Period",government lifecycle guidance,"Chapter 21: repair, reuse, recycling, repowering, decommissioning, and site-reuse options at the end of a PV system performance period.",https://www.energy.gov/cmei/femp/life-cycle-photovoltaic-systems-prepare-end-performance-period
sc-ch22-001,2025,International Energy Agency,"Renewables 2025 — Executive Summary",annual renewable forecast,"Chapter 22: integration needs as variable-renewable shares rise; supports portfolio framing around storage, demand flexibility, grids, and dispatchable resources rather than a single-technology reliability claim.",https://www.iea.org/reports/renewables-2025/executive-summary
