id,year,author_or_institution,title,source_type,book_use,url
reuters-nvidia-hf-2026,2026,Reuters,"Nvidia agrees to buy Hugging Face for $12.9 billion, The Information reports",journalism,"Reported acquisition status and strategic context",https://www.reuters.com/technology/nvidia-talks-acquire-hugging-face-13-billion-deal-business-insider-reports-2026-08-27/
hf-state-summer-2026,2026,Hugging Face,State of Open Models: Summer 2026 Observations,ecosystem report,"Hub growth; China/U.S. release patterns; Qwen derivatives; licenses; small models; agents",https://huggingface.co/blog/state-of-open-models-summer-2026
osi-osaid-1,2024,Open Source Initiative,Open Source AI Definition 1.0,standard,"Definition of open-source AI and preferred form for modification",https://opensource.org/ai
openai-gpt-oss-help,2026,OpenAI,OpenAI open-weight models (gpt-oss),product documentation,"Open-weight terminology; Apache 2.0; self-hosting and privacy tradeoffs",https://help.openai.com/en/articles/11870455
openai-gpt-oss-card,2025,OpenAI,gpt-oss-120b & gpt-oss-20b Model Card,model card,"Safety asymmetry and irreversibility of open-weight release",https://openai.com/index/gpt-oss-model-card/
nvidia-q2-fy27,2026,NVIDIA,NVIDIA Announces Financial Results for Second Quarter Fiscal 2027,company release,"Revenue scale; data-center economics; management framing of open-model ecosystem",https://nvidianews.nvidia.com/news/nvidia-announces-financial-results-for-second-quarter-fiscal-2027
nvidia-qwen38-gb300,2026,NVIDIA,Serve Qwen3.8-2.4T-A95B on NVIDIA GB300 NVL72,technical blog,"Day-zero optimization of Chinese open model on Nvidia hardware",https://developer.nvidia.com/blog/serve-qwen3-8-2-4t-a95b-a-2-4t-parameter-model-with-configurable-reasoning-on-nvidia-gb300-nvl72/
hf-state-spring-2026,2026,Hugging Face,State of Open Source on Hugging Face: Spring 2026,ecosystem report,"Hardware compatibility and open-source infrastructure trends",https://huggingface.co/blog/huggingface/state-of-os-hf-spring-2026
deepseek-v4-pro-changelog,2026,DeepSeek,DeepSeek-V4-Pro Update,product documentation,"August 2026 GA release and vendor-reported agent benchmarks",https://api-docs.deepseek.com/updates/
deepseek-v4-pro-hf,2026,DeepSeek,DeepSeek-V4-Pro-0813,model repository,"MIT license and downloadable release artifact",https://huggingface.co/deepseek-ai/DeepSeek-V4-Pro-0813
alibaba-qwen38,2026,Alibaba Cloud,Qwen3.8-2.4T-A95B Model Info,product documentation,"2.4T total / 95B active architecture and August release",https://www.alibabacloud.com/help/en/model-studio/qwen3-8-2-4t-a95b
reuters-qwen38-flash,2026,Reuters,Alibaba's Qwen launches Qwen3.8-Flash AI model with lower training costs,journalism,"Qwen 3.8 Flash release and cost competition",https://www.reuters.com/business/retail-consumer/alibabas-qwen-launches-qwen38-flash-ai-model-with-lower-training-costs-2026-08-26/
zai-glm53,2026,Z.ai,GLM-5.3: Frontier Coding with Emergent Cyber Capabilities,technical blog,"GLM 5.3 post-training strategy and vendor claims",https://z.ai/blog/glm-5.3
zai-glm53-flash,2026,Z.ai,GLM-5.3-Flash: Frontier Intelligence Flash Cost,technical blog,"320B/18B-active multimodal release and efficiency strategy",https://z.ai/blog/glm-5.3-flash
kimi-k3-readme,2026,Moonshot AI,Kimi K3,model repository,"2.8T open-weight architecture; 1M context; model positioning",https://github.com/MoonshotAI/Kimi-K3
kimi-k3-license,2026,Moonshot AI,Kimi K3 License,license,"Cloud-scale and attribution conditions in custom license",https://github.com/MoonshotAI/Kimi-K3/blob/main/LICENSE
reuters-kimi-cloud,2026,Reuters,"China's Moonshot in talks with Microsoft, Amazon, Google over K3 revenue sharing",journalism,"Cloud distribution negotiations and proposed revenue share",https://www.reuters.com/business/retail-consumer/chinas-moonshot-talks-with-microsoft-amazon-google-over-k3-revenue-sharing-2026-08-26/
reuters-tencent-open,2026,Reuters,China's Tencent releases new open-source AI model for coding research tasks,journalism,"Breadth of Chinese open-model competition",https://www.reuters.com/world/asia-pacific/chinas-tencent-releases-new-open-source-ai-model-coding-research-tasks-2026-08-28/
reuters-minimax-h1,2026,Reuters,China's MiniMax sees revenue nearly quadruple in first half as AI demand surges,journalism,"Commercial growth around low-cost/open-model strategy",https://www.reuters.com/world/china/chinas-minimax-sees-revenue-nearly-quadruple-first-half-ai-demand-surges-2026-08-26/
winui-oss-discussion,2026,Microsoft,WinUI OSS Update: Phased Rollout Toward Open Collaboration,project announcement,"Phased move from source visibility toward development on GitHub",https://github.com/microsoft/microsoft-ui-xaml/discussions/10700
winui-xaml-repo,2026,Microsoft,microsoft-ui-xaml,source repository,"Public WinUI source and MIT licensing",https://github.com/microsoft/microsoft-ui-xaml
hf-foundry-managed,2026,Hugging Face and Microsoft,Hugging Face Models on Foundry Managed Compute,enterprise article,"Open-weight models packaged as managed enterprise cloud choice",https://huggingface.co/blog/microsoft/foundry-managed-compute
hf-openenv-2026,2026,Hugging Face,The Open Source Community is backing OpenEnv for Agentic RL,project announcement,"Open agent training infrastructure and cross-company governance",https://huggingface.co/blog/openenv-agentic-rl
hf-security-july-2026,2026,Hugging Face,Security incident disclosure — July 2026,incident report,"Defensive value and risk context for locally controlled capable models",https://huggingface.co/blog/security-incident-july-2026
hf-open-data-agents,2026,NVIDIA and Hugging Face,Data for Agents,community article,"Open data as complementary asset for agent training",https://huggingface.co/blog/nvidia/open-data-for-agents
reuters-alibaba-capex,2026,Reuters,Alibaba's $10 bln share sale starts AI countdown,analysis,"Capital intensity and economics behind Qwen strategy",https://www.reuters.com/commentary/breakingviews/alibabas-10-bln-share-sale-starts-ai-countdown-2026-08-24/
