id,year,author_or_institution,title,source_type,book_use,url
AI001,2025,"National Institute of Standards and Technology","SP 800-63-4: Digital Identity Guidelines","government standard","Baseline definition of digital identity; proofing authentication federation and assertions; Chapters 1 4 and later identity-stack chapters","https://csrc.nist.gov/pubs/sp/800/63/4/final"
AI002,2025,"National Institute of Standards and Technology","SP 800-63A-4: Digital Identity Guidelines — Identity Proofing and Enrollment","government standard","Identity-proofing boundary and distinction between proving a claimant and predicting a person; Chapters 1 and 6","https://csrc.nist.gov/pubs/sp/800/63/a/4/final"
AI003,2025,"National Institute of Standards and Technology","SP 800-63B-4: Digital Identity Guidelines — Authentication and Authenticator Management","government standard","Authentication boundary and later credential chapters; Chapters 1 6 7 and 13","https://csrc.nist.gov/pubs/sp/800/63/b/4/final"
AI004,2025,"National Institute of Standards and Technology","SP 800-63C-4: Digital Identity Guidelines — Federation and Assertions","government standard","Federated identity subscriber attributes and digital-wallet context; Chapters 1 13 15","https://csrc.nist.gov/pubs/sp/800/63/c/4/final"
AI005,2013,"Michal Kosinski; David Stillwell; Thore Graepel","Private traits and attributes are predictable from digital records of human behavior","peer-reviewed journal article","Demonstrates task-specific inference of sensitive attributes from Facebook Likes; Chapter 2","https://doi.org/10.1073/pnas.1218772110"
AI006,2015,"Wu Youyou; Michal Kosinski; David Stillwell","Computer-based personality judgments are more accurate than those made by humans","peer-reviewed journal article","Shows study-specific computer personality judgments from Likes compared with human judges; Chapter 2","https://doi.org/10.1073/pnas.1418680112"
AI007,2014,"Federal Trade Commission","Data Brokers: A Call for Transparency and Accountability","government report","Data-broker collection segmentation and opacity; Chapters 1 2 3 and 12","https://www.ftc.gov/reports/data-brokers-call-transparency-accountability-report-federal-trade-commission-may-2014"
AI008,2016,"Federal Trade Commission","Big Data: A Tool for Inclusion or Exclusion? Understanding the Issues","government report","Statistical models inference consumer categorization benefits and exclusion risks; Chapters 2 3 5 12","https://www.ftc.gov/reports/big-data-tool-inclusion-or-exclusion-understanding-issues-ftc-report"
AI009,2025,"Federal Trade Commission","FTC Surveillance Pricing Study Indicates Wide Range of Personal Data Used to Set Individualized Consumer Prices","government staff findings","Current evidence on personal and inferred data feeding tailored prices promotions and product presentation; Chapters 3 and 12","https://www.ftc.gov/news-events/news/press-releases/2025/01/ftc-surveillance-pricing-study-indicates-wide-range-personal-data-used-set-individualized-consumer"
AI010,2023,"Consumer Financial Protection Bureau","CFPB Circular 2023-03: Adverse action notification requirements and the proper use of the CFPB's sample forms provided in Regulation B","government regulatory guidance","Specific-reason requirement for adverse credit action even with complex AI or predictive models; Chapters 3 5 and 19","https://files.consumerfinance.gov/f/documents/cfpb_adverse_action_notice_circular_2023-09.pdf"
AI011,2019,"Patrick Grother; Mei Ngan; Kayee Hanaoka / NIST","Face Recognition Vendor Test Part 3: Demographic Effects","government technical report","Biometric error classes demographic differentials and consequence of one-to-many false positives; Chapters 3 and 6","https://doi.org/10.6028/NIST.IR.8280"
AI012,2023,"Federal Trade Commission","Rite Aid Banned from Using AI Facial Recognition After FTC Says Retailer Deployed Technology without Reasonable Safeguards","government enforcement announcement","Concrete deployment case of false-positive facial-recognition matches and insufficient safeguards; Chapters 3 and 6","https://www.ftc.gov/news-events/news/press-releases/2023/12/rite-aid-banned-using-ai-facial-recognition-after-ftc-says-retailer-deployed-technology-without"
AI013,2016,"European Union","Regulation (EU) 2016/679 — General Data Protection Regulation Article 22","law","Automated decision-making and profiling safeguards; Chapters 3 19 20 and 21","https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32016R0679"
AI014,2024,"European Union","Regulation (EU) 2024/1689 — Artificial Intelligence Act","law","Definitions and restrictions concerning biometric identification and certain biometric categorisation; Chapters 3 6 7 and 21","https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX:32024R1689"
AI015,2019,"Federal Reserve System","Synthetic Identity Fraud in the U.S. Payment System — public announcement and white-paper summary","government report/announcement","Preserves established payments-fraud meaning of synthetic identity; Chapter 18","https://www.federalreserve.gov/newsevents/pressreleases/other20190709a.htm"
AI016,2020,"Internet Engineering Task Force","RFC 8693: OAuth 2.0 Token Exchange","internet standard","Primary distinction between impersonation and delegation; actor and subject chains; Chapters 4 13 14 15","https://datatracker.ietf.org/doc/html/rfc8693"
AI017,2025,"Model Context Protocol","Authorization specification — 2025-11-25","protocol specification","OAuth-based protected-resource requests by clients acting for resource owners; Chapters 4 13 and 15","https://modelcontextprotocol.io/specification/2025-11-25/basic/authorization"
AI018,2025,"OpenID Foundation AI Identity Management Community Group","Identity Management for Agentic AI: The new frontier of authorization authentication and security for an AI agent world","industry standards whitepaper","Agent authentication authorization delegation and governance; Chapters 4 13 14 and 15","https://openid.net/wp-content/uploads/2025/10/Identity-Management-for-Agentic-AI.pdf"
AI019,2026,"National Institute of Standards and Technology / NCCoE","Accelerating the Adoption of Software and Artificial Intelligence Agent Identity and Authorization — concept paper","government concept paper","Current evidence that AI-agent identity authorization auditing and non-repudiation are active standards problems; Chapters 4 13 14 15","https://csrc.nist.gov/pubs/other/2026/02/05/accelerating-the-adoption-of-software-and-ai-agent/ipd"
AI020,2026,"OpenID Foundation AuthZEN Working Group","OpenID Foundation advances authorization for the agent era with new AuthZEN Working Group Drafts","standards announcement","Approval consent delegated-authority prerequisites and tool authorization; Chapters 4 14 and 15","https://openid.net/openid-foundation-advances-authorization-for-the-agent-era-with-new-authzen-working-group-drafts/"
AI021,2026,"L. Zhu; Z. Berg / IETF OAuth Working Group","Delegation Handle for Asynchronous OAuth 2.0 Token Exchange — Internet-Draft draft-zhu-oauth-async-delegation-02","internet-draft","Evidence of active work on long-running delegated workflows; later agent-delegation chapters; treat as draft not settled standard","https://datatracker.ietf.org/doc/html/draft-zhu-oauth-async-delegation-02"
AI022,2024,"Joon Sung Park et al.","Generative Agent Simulations of 1,000 People","research preprint","Person-specific generative agents built from interviews; key evidence for simulation boundary; Chapters 1 4 9 10 and 23","https://arxiv.org/abs/2411.10109"
