id,year,author_or_institution,title,source_type,book_use,url
dec001,2019,Oxford Internet Institute,"The Global Disinformation Order: 2019 Global Inventory of Organised Social Media Manipulation",research report,"Chapters 2 and 19: documents organized social-media manipulation across 70 countries and the use of automation, algorithms, data, and organizational actors in political communication. Use as deployment/prior-art evidence, not as evidence of uniform persuasion or election effects.",https://www.oii.ox.ac.uk/news-events/reports/the-global-disinformation-order-2019-global-inventory-of-organised-social-media-manipulation/
dec002,2020,Oxford Internet Institute,"Industrialized Disinformation: 2020 Global Inventory of Organized Social Media Manipulation",research report,"Chapters 2 and 19: documents organized manipulation in 81 countries and the growing role of private strategic-communications firms. Country presence and organizational capacity do not establish persuasion or election effects.",https://www.oii.ox.ac.uk/news-events/reports/industrialized-disinformation-2020-global-inventory-of-organized-social-media-manipulation/
dec003,n.d.,Oxford Internet Institute,Computational Propaganda,research project,"Chapters 2 and 14: conceptual and empirical prior art establishing that automation, algorithms, targeting, and political manipulation were studied as connected systems before generative AI. The manuscript's novelty claim is the closed adaptive relationship synthesis, not the underlying components.",https://www.oii.ox.ac.uk/research/projects/computational-propaganda/
dec004,2025,"Francesco Salvi; Manoel Horta Ribeiro; Riccardo Gallotti; Robert West et al.","On the conversational persuasiveness of GPT-4",peer-reviewed experiment,"Chapters 4, 6, 14 and 20: preregistered N=900 debate study; personalized GPT-4 had 81.2% higher odds of greater post-debate agreement than the human-human baseline and was more persuasive 64.4% of the time among non-ties. Do not present 81.2% as a conversion rate or infer durable voting behavior or population-scale covert influence.",https://www.nature.com/articles/s41562-025-02194-6
dec005,2025,"Hui Bai; Jan G. Voelkel; Shane Muldowney; Johannes C. Eichstaedt; Robb Willer","LLM-generated messages can persuade humans on policy issues",peer-reviewed experiments,"Chapters 4, 6 and 20: three preregistered experiments (total N=4,829) found LLM-generated political messages shifted policy attitudes relative to neutral controls and were broadly comparable with lay-human messages. Effects were small and do not establish superiority to professional campaign communication or durable behavior change.",https://www.nature.com/articles/s41467-025-61345-5
dec006,2025,"Lin et al.","Persuading voters using human-artificial intelligence dialogues",peer-reviewed experiments,"Chapters 4, 14 and 20: preregistered experiments in the 2024 U.S., 2025 Canadian, and 2025 Polish election contexts found significant treatment effects on candidate preference; the study reports persuasion largely through relevant facts and evidence. Experimental exposure does not establish population-scale election effects or operational covert deployment.",https://www.nature.com/articles/s41586-025-09771-9
dec007,2025,C2PA,"C2PA and Content Credentials Explainer v2.2",technical standard explainer,"Chapters 7 and 16: provenance can support claims about origin and history but does not establish whether content is true, accurate, or factual. Use to separate authenticity/provenance from truth, not as a causal claim about recommendation systems.",https://spec.c2pa.org/specifications/specifications/2.2/explainer/Explainer.html
dec008,2025,Federal Trade Commission,"FTC Surveillance Pricing Study Indicates Wide Range of Personal Data Used to Set Individualized Consumer Prices",government study,"Chapters 11 and 18: FTC staff reported that intermediaries can use location, browser and shopping history, demographics, and fine-grained interaction signals to tailor individualized commercial treatment. This is evidence of operationalized personalization infrastructure, not evidence of political use; political parallels must remain explicitly analogical.",https://www.ftc.gov/news-events/news/press-releases/2025/01/ftc-surveillance-pricing-study-indicates-wide-range-personal-data-used-set-individualized-consumer
dec009,2025,Federal Trade Commission,"Surveillance Pricing Update & The Work Ahead",government analysis,"Chapter 11: describes broad first-party, third-party, and inferred data available to intermediaries for individualized commercial decisions. Supports the architectural point that targeting can come to the data; do not imply that political sponsors receive or use the same data stack.",https://www.ftc.gov/policy/advocacy-research/tech-at-ftc/2025/01/surveillance-pricing-update-work-ahead
dec010,2026,C2PA,"C2PA Harms Modelling v2.4",technical security guidance,"Chapters 16, 18 and 20: valid manifests do not make content true; assets with valid manifests can still be misinformation or disinformation; lack of Content Credentials does not mean content is untrustworthy. Use to define provenance's security boundary and avoid turning credentials into a truth score.",https://spec.c2pa.org/specifications/specifications/2.4/security/Harms_Modelling.html
