id,year,author_or_institution,title,source_type,book_use,url
hardin1968,1968,Garrett Hardin,The Tragedy of the Commons,journal article,Chapter 1 historical tragedy-of-the-commons framing; read critically alongside Ostrom,https://doi.org/10.1126/science.162.3859.1243
ostrom2009,2009,Royal Swedish Academy of Sciences,The Prize in Economic Sciences 2009 — Press release,official award documentation,Chapters 1 and 20 on empirical governance of common resources,https://www.nobelprize.org/prizes/economic-sciences/2009/press-release/
ostromlecture2009,2009,Elinor Ostrom,Beyond Markets and States: Polycentric Governance of Complex Economic Systems,prize lecture,Chapters 1 7 and 20 on design principles polycentric governance and nested institutions,https://www.nobelprize.org/prizes/economic-sciences/2009/ostrom/lecture/
herdmoynihan2025,2025,Pamela Herd and Donald Moynihan,Administrative Burdens in the Social Safety Net,peer-reviewed journal article,Chapters 2 12 and 19 on learning compliance and psychological costs in public programs,https://www.aeaweb.org/articles?id=10.1257/jep.20231394
govukwhole2026,2026,UK Government Digital Service,Solve a whole problem for users,official service standard,Chapters 2 10 and 12 on whole-service design and technology serving user needs rather than defining them,https://www.gov.uk/service-manual/service-standard/point-2-solve-a-whole-problem
govukaccess2026,2026,UK Government Digital Service,Make sure everyone can use the service,official service standard,Chapters 2 and 10 on assisted digital routes accessibility and inclusion,https://www.gov.uk/service-manual/service-standard/point-5-make-sure-everyone-can-use-the-service
govukopen2026,2026,UK Government Digital Service,"Use and contribute to open standards, common components and patterns",official service standard,Chapters 4 5 14 15 17 and 20 on reuse interoperability open standards and avoiding supplier lock-in,https://www.gov.uk/service-manual/service-standard/point-13-use-common-standards-components-patterns
govuktools2026,2026,UK Government Digital Service,Choose the right tools and technology,official service standard,Chapters 7 12 and 16 on total cost of ownership flexibility legacy systems inclusion and reliability,https://www.gov.uk/service-manual/service-standard/point-11-choose-the-right-tools-and-technology
nistairmf2023,2023,National Institute of Standards and Technology,Artificial Intelligence Risk Management Framework (AI RMF 1.0),official framework,Chapters 6 and 18 on risk governance trustworthiness rights safety and accountability,https://www.nist.gov/publications/artificial-intelligence-risk-management-framework-ai-rmf-10
nistgovern2026,2026,National Institute of Standards and Technology,AI RMF Playbook — Govern,official implementation guidance,Chapters 3 6 18 and 19 on human roles oversight risk tracking and accountability,https://airc.nist.gov/airmf-resources/playbook/govern/
worldbankdpi2026,2026,World Bank Group,Global Digital Public Infrastructure Program: From Foundations to Scale,official program results page,Chapters 3 4 5 10 14 and 20 on identity payments secure data exchange and public digital foundations,https://www.worldbank.org/en/results/2026/05/06/global-digital-public-infrastructure-program
undpdpi2026,2026,United Nations Development Programme,Digital Public Infrastructure,official program overview,Chapters 4 10 and 17 on safe fair interoperable foundational digital systems,https://www.undp.org/digital/digital-public-infrastructure
undpsafeguards2025,2025,United Nations Development Programme,Building a fairer digital future starts with trusted data,official governance guidance,Chapters 10 and 18 on inclusion privacy consent accountability and discrimination risks,https://www.undp.org/digital/blog/building-fairer-digital-future-starts-trusted-data-governance-assessment-framework-digital-public-infrastructure
wikimedia2026,2026,Wikimedia Foundation,2024–2025 Annual Report,official annual report,Chapters 8 15 and 20 as an operating precedent for large-scale shared knowledge contribution and maintenance,https://wikimediafoundation.org/annualreports/2024-2025-annual-report/
alphafolddb2026,2026,Google DeepMind and EMBL-EBI,AlphaFold Protein Structure Database,official database,Chapter 9 on open machine-generated scientific infrastructure and the distinction between prediction and experimental evidence,https://alphafold.ebi.ac.uk/
hothaiti2010,2010,Humanitarian OpenStreetMap Team,Disaster Activation: Haiti Post-earthquake response and recovery 2010–11,first-party project history,Chapter 11 on rapid distributed mapping as common operational infrastructure during disaster response,https://website.hotosm.org/en/projects/disaster-activation-haiti-post-earthquake-response-and-recovery-2010-11/
femahseep2026,2026,Federal Emergency Management Agency,Homeland Security Exercise and Evaluation Program resources,official preparedness guidance,Chapter 13 on exercises capability validation evaluation corrective action and continuous improvement,https://preptoolkit.fema.gov/web/hseep-resources
ieaenergyai2025,2025,International Energy Agency,Energy and AI,official analytical report,Chapter 16 physical-energy baseline and projections for AI and data centres,https://www.iea.org/reports/energy-and-ai
ieademand2025,2025,International Energy Agency,Energy demand from AI,official analytical report,Chapter 16 data-centre electricity demand projections and geographic concentration effects,https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai
