id,year,author_or_institution,title,source_type,book_use,url
tuw-core-001,1986,Paul W. Holland,"Statistics and Causal Inference",Peer-reviewed journal article,"Chapters 1-2: potential-outcomes framing and the fundamental problem of causal inference; do not imply individual counterfactuals are directly observable.",https://doi.org/10.1080/01621459.1986.10478354
tuw-core-002,2017,"Himabindu Lakkaraju; Jon Kleinberg; Jure Leskovec; Jens Ludwig; Sendhil Mullainathan","The Selective Labels Problem: Evaluating Algorithmic Predictions in the Presence of Unobservables",Peer-reviewed conference paper,"Chapters 1, 3-4, 13: outcomes can be selectively observed because earlier human decisions determine which labels exist; bail is the canonical empirical setting.",https://pmc.ncbi.nlm.nih.gov/articles/PMC5958915/
tuw-core-003,2018,"Jon Kleinberg; Himabindu Lakkaraju; Jure Leskovec; Jens Ludwig; Sendhil Mullainathan","Human Decisions and Machine Predictions",Peer-reviewed journal article,"Chapters 1, 3-4: machine-vs-human decision evaluation under selective outcomes; preserve setting and identification assumptions.",https://www.nber.org/papers/w23180
tuw-core-004,1991,James G. March,"Exploration and Exploitation in Organizational Learning",Peer-reviewed journal article,"Chapters 5, 13-15, 19: organizations trade off refinement of known practices against search for new possibilities; use as theory, not empirical proof of every modern algorithmic loop.",https://doi.org/10.1287/orsc.2.1.71
tuw-core-005,2002,"Peter Auer; Nicolò Cesa-Bianchi; Paul Fischer","Finite-time Analysis of the Multiarmed Bandit Problem",Peer-reviewed journal article,"Chapters 4-5, 13, 18: formal exploration/exploitation problem and regret; mathematical bandit results do not by themselves authorize real-world experimentation.",https://doi.org/10.1023/A:1013689704352
tuw-hire-001,2026,"Danielle Li; Lindsey Raymond; Peter Bergman","Hiring as Exploration",Peer-reviewed journal article,"Chapters 4, 6, 16: contextual-bandit approach to resume screening in one Fortune 500 professional-services setting; exploration improved selected-candidate quality and diversity relative to observed baselines.",https://doi.org/10.1093/restud/rdaf040
tuw-credit-001,2018,"Daniel Björkegren; Darrell Grissen","The Potential of Digital Credit to Bank the Poor",Peer-reviewed proceedings article,"Chapter 7: mobile data can expand credit prediction for borrowers excluded from conventional systems; use for access and alternative-data context, not as proof that all credit models suffer the same selective-label bias.",https://www.aeaweb.org/articles?id=10.1257/pandp.20181032
tuw-credit-002,2004,"Jonathan Crook; John Banasik","Does reject inference really improve the performance of application scoring models?",Peer-reviewed journal article,"Chapter 7: application scorecards estimated only on accepted applicants can be biased for the through-the-door population; rare data including would-be rejects are used to test the size of the problem and reject-inference remedies.",https://doi.org/10.1016/j.jbankfin.2003.10.010
tuw-credit-003,2007,"John Banasik; Jonathan Crook","Reject Inference, Augmentation and Sample Selection",Peer-reviewed journal article,"Chapter 7: tests augmentation and reject-inference approaches using rare accept/reject information; evidence is mixed and does not justify presenting reject inference as a universal fix.",https://doi.org/10.1016/j.ejor.2006.06.072
tuw-credit-004,2021,"Adrien Ehrhardt; Christophe Biernacki; Vincent Vandewalle; Philippe Heinrich; Sébastien Beben","Reject inference methods in credit scoring",Peer-reviewed journal article,"Chapter 7: formalizes hidden assumptions behind common reject-inference methods and finds no method uniformly dominant; supports caution about learning rejected-applicant repayment behavior indirectly.",https://pmc.ncbi.nlm.nih.gov/articles/PMC9041715/
tuw-health-001,2023,"Sendhil Mullainathan; Ziad Obermeyer","Diagnosing Physician Error: A Machine Learning Approach to Low-Value Health Care",NBER working paper revised 2023,"Chapters 3 and 8: heart-attack testing decisions exhibit both over-testing and under-testing in the studied setting; natural testing variation helps evaluate cases left untested.",https://www.nber.org/papers/w26168
tuw-edu-001,2021,"Peter Bergman; Elizabeth Kopko; Julio E. Rodriguez","A Seven-College Experiment Using Algorithms to Track Students: Impacts and Implications for Equity and Fairness",NBER working paper,"Chapter 9 and 16: randomized evaluation of algorithmic placement; selective labels nearly doubled prediction error for college English in this study but had little effect for college math.",https://www.nber.org/papers/w28948
tuw-edu-002,2025,"Tomás Larroucau; Ignacio A. Rios; Anaïs Fabre; Christopher Neilson","College Application Mistakes and the Design of Information Policies at Scale",NBER working paper,"Chapter 9: nationwide Chile field experiment on personalized admissions information; use to support the claim that information policy can change who applies and matching outcomes, with the setting and design stated.",https://www.nber.org/papers/w34164
tuw-rec-001,2020,"Ashton Anderson; Lucas Maystre; Ian Anderson; Rishabh Mehrotra; Mounia Lalmas","Algorithmic Effects on the Diversity of Consumption on Spotify",Peer-reviewed conference paper,"Chapters 10 and 15: algorithmically driven listening was associated with reduced consumption diversity; authors explicitly caution against a simple causal interpretation.",https://doi.org/10.1145/3366423.3380281
tuw-rec-002,2021,"Christian Hansen; Rishabh Mehrotra; Casper Hansen; Brian Brost; Lucas Maystre; Mounia Lalmas","Shifting Consumption towards Diverse Content on Music Streaming Platforms",Peer-reviewed conference paper,"Chapters 10 and 15: reinforcement-learning sequencing can target less popular or taste-distant content, illustrating deliberate exploration objectives in recommender design.",https://research.atspotify.com/publications/shifting-consumption-towards-diverse-content-on-music-streaming-platforms
tuw-rec-003,2025,"Diego Feijer; Himan Abdollahpouri; Sanket Gupta; Alexander Clare; Yuxiao Wen; Todd Wasson; Maria Dimakopoulou; Zahra Nazari; Kyle Kretschman; Mounia Lalmas","Calibrated Recommendations with Contextual Bandits",Spotify Research / RecSys workshop paper,"Chapter 10 counterevidence: a deployed Home-page system uses contextual-bandit exploration and reports improved engagement and exploration measures; current reward remains short-term, so do not infer long-run satisfaction or cultural diversity.",https://research.atspotify.com/2025/9/calibrated-recommendations-with-contextual-bandits-on-spotify-homepage
tuw-rec-004,2026,"Dmitrii Moor; Ben Carterette; Senthilkumar Krishnamoorthy; Kyle Kretschman; Denis Beslic; Melissa Yalla; Alice Y Wang; Mounia Lalmas","Stochastic Primal-Dual Decoding for Multiobjective Generative Recommender Systems",Spotify Research / KDD paper,"Chapter 10 counterevidence: large-scale Spotify A/B test shows an auxiliary recommendation objective can improve without a detected loss in reported user-consumption measures; do not equate the auxiliary objective with broad cultural diversity or consumption with welfare.",https://research.atspotify.com/2026/8/balancing-multiple-objectives-in-generative-recommendations-with-adaptive-decoding
tuw-science-001,2024,"Niamh Flanagan; Kalpana Shankar et al.","Funding lotteries for research grant allocation: An extended taxonomy and evaluation of their fairness",Peer-reviewed journal article,"Chapters 11 and 18: taxonomy and fairness analysis of funding lotteries used among eligible positively evaluated proposals.",https://academic.oup.com/rev/article/doi/10.1093/reseval/rvae025/7735322
tuw-science-002,2016,"Ferric C. Fang; Arturo Casadevall","Research Funding: the Case for a Modified Lottery",Peer-reviewed essay,"Chapters 11 and 18: proposal for peer-review threshold plus lottery; use as an argument, not settled evidence that lotteries dominate peer review.",https://pubmed.ncbi.nlm.nih.gov/27073093/
tuw-science-003,2026,Max Bennett,"When the best decision is no decision: the rise of randomization in grant funding",Nature career feature,"Chapter 11: current operational examples and debate around partial randomization in grant funding; journalistic context, not primary causal evidence.",https://www.nature.com/articles/d41586-026-02082-7
tuw-science-004,2015,Health Research Council of New Zealand,"HRC explorer grant applications open 1 October 2015",First-party funder notice,"Chapter 11: HRC describes a thresholded Explorer Grant process in which applications judged transformative and viable are equally eligible and successful proposals are selected randomly; primary operational evidence that bounded randomization can follow merit screening, not evidence that lotteries outperform peer review generally.",https://www.hrc.govt.nz/news-and-events/hrc-explorer-grant-applications-open-1-october-2015
