id,year,author_or_institution,title,source_type,book_use,url
gatekeepers-001,1943,Kurt Lewin / National Research Council,Forces Behind Food Habits and Methods of Change,primary government-hosted research,Ch 1: gatekeeping origins. Food-channel research that precedes Lewin's broader gatekeeper formulation,https://www.ncbi.nlm.nih.gov/books/NBK224347/
gatekeepers-002,1947,Kurt Lewin,Frontiers in Group Dynamics II: Channels of Group Life; Social Planning and Action Research,original research,Ch 1: gatekeeping theory. Generalizes gate sections and gatekeepers across food news goods and organizations,https://doi.org/10.1177/001872674700100201
gatekeepers-003,1950,David Manning White,The Gate Keeper: A Case Study in the Selection of News,original research,Ch 1: news gatekeeping. Seven-day study of accepted and rejected wire stories by a newspaper telegraph editor,https://doi.org/10.1177/107769905002700403
gatekeepers-004,2026,European Commission,About the Digital Markets Act,regulator,Ch 1;9: digital gatekeepers. Defines the DMA gatekeeper framework and examples of obligations and prohibitions,https://digital-markets-act.ec.europa.eu/about-dma_en
gatekeepers-005,2026,European Commission,DMA designated Gatekeepers,regulator,Ch 1;9: digital gatekeepers. Current designated companies and core platform services,https://digital-markets-act.ec.europa.eu/gatekeepers-portal_en
gatekeepers-006,2023,European Commission,Criteria for the designation of gatekeepers,regulator,Ch 1;9: designation criteria. Quantitative and qualitative criteria including important gateway status,https://digital-markets-act.ec.europa.eu/document/download/caf094bf-82f8-48d4-a379-4d0734e38103_en?filename=S8+-+DMA-+EC.pdf
gatekeepers-007,2026,Consumer Financial Protection Bureau,Regulation B § 1002.9 Notifications,regulator,Ch 1;6;14: credit denial. Requires specific principal reasons for adverse action,https://www.consumerfinance.gov/rules-policy/regulations/1002/9/
gatekeepers-008,2022,Consumer Financial Protection Bureau,Circular 2022-03: Adverse action notification requirements in connection with complex algorithms,regulator,Ch 6;14: algorithmic credit decisions. Explains that complex algorithms do not remove the duty to give accurate specific reasons,https://www.consumerfinance.gov/compliance/circulars/circular-2022-03-adverse-action-notification-requirements-in-connection-with-credit-decisions-based-on-complex-algorithms/
gatekeepers-009,2024,Centers for Medicare & Medicaid Services,CMS Interoperability and Prior Authorization Final Rule CMS-0057-F,regulator,Ch 1;7: prior authorization. Decision timeframes and specific denial-reason requirements for impacted payers,https://www.cms.gov/newsroom/fact-sheets/cms-interoperability-prior-authorization-final-rule-cms-0057-f
gatekeepers-010,2022,HHS Office of Inspector General,Some Medicare Advantage Organization Denials of Prior Authorization Requests Raise Concerns About Beneficiary Access to Medically Necessary Care,government oversight,Ch 7: prior authorization denials. Sample review found some denied requests met Medicare coverage rules,https://www.oig.hhs.gov/reports/all/2022/some-medicare-advantage-organization-denials-of-prior-authorization-requests-raise-concerns-about-beneficiary-access-to-medically-necessary-care/
gatekeepers-011,2025,U.S. Bureau of Labor Statistics,Certification and licensing status of the employed by occupation,government dataset,Ch 5: occupational licensing. Tracks certification and licensing across U.S. occupations,https://www.bls.gov/cps/cpsaat53.htm
