chapter,claim_area,source_type,source,title,url,date_or_version,notes
1,gatekeeping origins,primary government-hosted research,Kurt Lewin / National Research Council,Forces Behind Food Habits and Methods of Change,https://www.ncbi.nlm.nih.gov/books/NBK224347/,1943,Food-channel research that precedes Lewin's broader gatekeeper formulation
1,gatekeeping theory,original research,Kurt Lewin,Frontiers in Group Dynamics II: Channels of Group Life; Social Planning and Action Research,https://doi.org/10.1177/001872674700100201,1947,Generalizes gate sections and gatekeepers across food news goods and organizations
1,news gatekeeping,original research,David Manning White,The Gate Keeper: A Case Study in the Selection of News,https://doi.org/10.1177/107769905002700403,1950,Seven-day study of accepted and rejected wire stories by a newspaper telegraph editor
1;9,digital gatekeepers,regulator,European Commission,About the Digital Markets Act,https://digital-markets-act.ec.europa.eu/about-dma_en,current,Defines the DMA gatekeeper framework and examples of obligations and prohibitions
1;9,digital gatekeepers,regulator,European Commission,DMA designated Gatekeepers,https://digital-markets-act.ec.europa.eu/gatekeepers-portal_en,current,Current designated companies and core platform services
1;9,designation criteria,regulator,European Commission,Criteria for the designation of gatekeepers,https://digital-markets-act.ec.europa.eu/document/download/caf094bf-82f8-48d4-a379-4d0734e38103_en?filename=S8+-+DMA-+EC.pdf,2023,Quantitative and qualitative criteria including important gateway status
1;6;14,credit denial,regulator,Consumer Financial Protection Bureau,Regulation B § 1002.9 Notifications,https://www.consumerfinance.gov/rules-policy/regulations/1002/9/,current,Requires specific principal reasons for adverse action
6;14,algorithmic credit decisions,regulator,Consumer Financial Protection Bureau,Circular 2022-03: Adverse action notification requirements in connection with complex algorithms,https://www.consumerfinance.gov/compliance/circulars/circular-2022-03-adverse-action-notification-requirements-in-connection-with-credit-decisions-based-on-complex-algorithms/,2022,Explains that complex algorithms do not remove the duty to give accurate specific reasons
1;7,prior authorization,regulator,Centers for Medicare & Medicaid Services,CMS Interoperability and Prior Authorization Final Rule CMS-0057-F,https://www.cms.gov/newsroom/fact-sheets/cms-interoperability-prior-authorization-final-rule-cms-0057-f,2024,Decision timeframes and specific denial-reason requirements for impacted payers
7,prior authorization denials,government oversight,HHS Office of Inspector General,Some Medicare Advantage Organization Denials of Prior Authorization Requests Raise Concerns About Beneficiary Access to Medically Necessary Care,https://www.oig.hhs.gov/reports/all/2022/some-medicare-advantage-organization-denials-of-prior-authorization-requests-raise-concerns-about-beneficiary-access-to-medically-necessary-care/,2022,Sample review found some denied requests met Medicare coverage rules
5,occupational licensing,government dataset,U.S. Bureau of Labor Statistics,Certification and licensing status of the employed by occupation,https://www.bls.gov/cps/cpsaat53.htm,2025 annual averages,Tracks certification and licensing across U.S. occupations
5,licensing competition,regulator research program,Federal Trade Commission,The Effects of Occupational Licensure on Competition Consumers and the Workforce,https://www.ftc.gov/news-events/events/2017/11/effects-occupational-licensure-competition-consumers-workforce-empirical-research-results,2017,Frames both consumer benefits and entry costs of occupational licensing
9,app distribution,platform primary rules,Apple,App Review Guidelines,https://developer.apple.com/app-store/review/guidelines/,current,Primary source for current App Store distribution and purchase-link rules
9,app store litigation,judicial opinion,U.S. Court of Appeals for the Ninth Circuit,Epic Games Inc. v. Apple Inc.,https://cdn.ca9.uscourts.gov/datastore/opinions/2023/04/24/21-16506.pdf,2023-04-24,App Store litigation record including anti-steering and commission context
13;19,cloud and AI gatekeeping,regulator,European Commission,DMA Review Q&A,https://digital-markets-act.ec.europa.eu/about-dma/dma-review-qa_en,2026,Identifies cloud services and AI as critical priorities in DMA review
13;19,cloud gateway investigation,regulator,European Commission,Preliminary position on AWS and Azure under the DMA,https://digital-markets-act.ec.europa.eu/commission-reaches-preliminary-position-amazons-and-microsofts-market-leading-cloud-services-should-2026-06-25_en,2026-06-25,Current investigation of cloud services as important gateways with switching costs and AI-tool relevance
2,drug safety disaster,regulator history,U.S. Food and Drug Administration,Sulfanilamide Disaster,https://www.fda.gov/about-fda/histories-product-regulation/sulfanilamide-disaster,1937 event,Untested diethylene-glycol formulation killed more than 100 people and accelerated passage of the 1938 FD&C Act
2,premarket safety,regulator history,U.S. Food and Drug Administration,Milestones in U.S. Food and Drug Law,https://www.fda.gov/about-fda/fda-history/milestones-us-food-and-drug-law,1938 milestone,1938 FD&C Act required new drugs to be shown safe before marketing
2,thalidomide,regulator history,U.S. Food and Drug Administration,Frances Oldham Kelsey: Medical reviewer famous for averting a public health tragedy,https://www.fda.gov/about-fda/fda-history-exhibits/frances-oldham-kelsey-medical-reviewer-famous-averting-public-health-tragedy,1960-1962 events,Kelsey refused thalidomide application because evidence of safety was inadequate despite sponsor pressure
2,drug efficacy gate,regulator history,U.S. Food and Drug Administration,Promoting Safe & Effective Drugs for 100 Years,https://www.fda.gov/about-fda/histories-product-regulation/promoting-safe-effective-drugs-100-years,1962 milestone,Kefauver-Harris amendments added substantial evidence of effectiveness before marketing
2,information asymmetry,original research,George A. Akerlof,The Market for Lemons: Quality Uncertainty and the Market Mechanism,https://doi.org/10.2307/1879431,1970,Classic adverse-selection analysis showing how hidden quality can degrade or collapse a market
2,information asymmetry,authoritative retrospective,Nobel Prize,Writing The Market for Lemons: A Personal and Interpretive Essay,https://www.nobelprize.org/prizes/economic-sciences/2001/akerlof/article/,2003,Akerlof describes extending asymmetric-information reasoning from education to used cars insurance and lending
2,airport scarcity,regulator,Federal Aviation Administration,Slot Administration,https://www.faa.gov/about/office_org/headquarters_offices/ato/service_units/systemops/perf_analysis/slot_administration,current,FAA uses runway slots to limit scheduled traffic at capacity-constrained airports
2,airport slot definition,regulator,Federal Aviation Administration,Slot Administration - Slot Definition,https://www.faa.gov/about/office_org/headquarters_offices/ato/service_units/systemops/perf_analysis/slot_administration/slot_definition,current,Slots are advance authorizations used to prevent systemic delays where demand exceeds airport capacity
2,technical standards,standards agency,National Institute of Standards and Technology,Why You Need Standards,https://www.nist.gov/feature-stories/why-you-need-standards,2022,Standards support safety interoperability and technology while quietly coordinating independent systems
2,standards tradeoffs,standards agency,National Institute of Standards and Technology,Standards and Trade: Who Really Cares?,https://www.nist.gov/speech-testimony/standards-and-trade-who-really-cares,1998,Notes that good standards enable trade competition safety and interoperability while poor standards can entrench inferior technologies and raise barriers
3,grain elevator regulation,judicial opinion,U.S. Supreme Court / Cornell LII,Munn v. Illinois 94 U.S. 113,https://www.law.cornell.edu/supremecourt/text/94/113,1877,Private Chicago grain elevators occupied a concentrated gateway in commerce; Court upheld Illinois warehouse regulation under public-interest reasoning
3,grain elevator concentration,judicial factual record,U.S. Supreme Court / Cornell LII,Munn v. Illinois factual record lines on Chicago elevators,https://www.law.cornell.edu/supremecourt/text/94/113,1877,Court record describes fourteen adapted warehouses owned by about thirty people but controlled by nine firms with jointly established rates
3,rail terminal bottleneck,judicial opinion,U.S. Supreme Court / Cornell LII,United States v. Terminal Railroad Association of St. Louis 224 U.S. 383,https://www.law.cornell.edu/supremecourt/text/224/383,1912,Court found consolidated control of essential St. Louis terminal facilities an unlawful restraint and required access for nonproprietary railroads on equal terms
3,terminal control aftermath,judicial opinion,U.S. Supreme Court / Cornell LII,Manufacturers' Railway Co. v. United States 246 U.S. 457,https://www.law.cornell.edu/supremecourt/text/246/457,1918,Describes Terminal Railroad dominance of principal St. Louis terminal facilities and access routes
3,common carriers,legal reference,Cornell Legal Information Institute,Common carrier,https://www.law.cornell.edu/wex/common_carrier,current,Background on the public-facing transportation category used to distinguish services offered generally from private carriage
4,queueing history,professional society history,INFORMS,Erlang Agner Krarup biographical profile,https://www.informs.org/Explore/History-of-O.R.-Excellence/Biographical-Profiles/Erlang-Agner-Krarup,1908-1917 events,Erlang joined Copenhagen Telephone Company in 1908 and developed probability models for telephone waiting and loss
4,queueing models,professional society methodology,INFORMS,Queueing Models,https://www.informs.org/Explore/History-of-O.R.-Excellence/O.R.-Methodologies/Queueing-Models,current background,Explains Erlang B blocking and Erlang C delay regimes and their origin in telephone capacity planning
4,littles law,original research,John D. C. Little,A Proof for the Queuing Formula L = lambda W,https://doi.org/10.1287/opre.9.3.383,1961,Formal proof relating average inventory arrival rate and time in a stationary queueing process
4,littles law retrospective,original-author retrospective,John D. C. Little,Little's Law as Viewed on Its 50th Anniversary,https://doi.org/10.1287/opre.1110.0940,2011,Reviews practical and theoretical uses of L = lambda W across operations and computing
